,INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
240,California State University-Los Angeles,Los Angeles,90032-8506,,0.384615385,0.347632312
241,California State University-Northridge,Northridge,91330,,0.515860153,0.408267091
242,California State University-Sacramento,Sacramento,95819-2694,,0.529761905,0.493382961
243,University of California-Berkeley,Berkeley,94720,,0.564079008,0.527272727
244,University of California-Davis,Davis,95616-8678,,0.740698985,0.690876882
245,University of California-Irvine,Irvine,92697,,0.742527754,0.65974026
246,University of California-Los Angeles,Los Angeles,90095-1405,,0.791317038,0.738955823
247,University of California-Riverside,Riverside,92521,,0.678945165,0.636408978
248,University of California-San Diego,La Jolla,92093,,0.732563305,0.689030362
249,University of California-San Francisco,San Francisco,94143-0244,,PrivacySuppressed,PrivacySuppressed
250,University of California-Santa Barbara,Santa Barbara,93106,,0.718371837,0.666666667
251,University of California-Santa Cruz,Santa Cruz,95064-1011,,0.71548351,0.678714859
252,Sofia University,Palo Alto,94303,,,
253,California Beauty School,Modesto,95354,,PrivacySuppressed,PrivacySuppressed
254,California Christian College,Fresno,93727,,PrivacySuppressed,PrivacySuppressed
255,Le Cordon Bleu College of Culinary Arts-San Francisco,San Francisco,94103,,0.641921397,0.565972222
256,California Hair Design Academy,La Mesa,91941-5055,,PrivacySuppressed,PrivacySuppressed
257,California Institute of the Arts,Valencia,91355-2397,,0.686868687,0.681415929
258,California State University Maritime Academy,Vallejo,94590,,0.615384615,0.517441861
259,California Western School of Law,San Diego,92101-3046,,PrivacySuppressed,PrivacySuppressed
260,Canada College,Redwood City,94061-1099,,0.100208768,0.09623431
261,College of the Canyons,Santa Clarita,91355-1899,,0.147963425,0.126940639
262,Career Academy of Beauty,Garden Grove,92845,,PrivacySuppressed,PrivacySuppressed
263,Casa Loma College-Van Nuys,Van Nuys,91405,,0.693298969,0.692307692
264,CET-San Diego,San Diego,92102,,0.638367347,0.595935445
265,CET-Sobrato,San Jose,95110,,0.638367347,0.595935445
266,CET-El Centro,El Centro,92243,,0.638367347,0.595935445
267,CET-Colton,Colton,92324,,0.638367347,0.595935445
268,CET-Watsonville,Watsonville,95076,,0.638367347,0.595935445
269,CET-Salinas,Salinas,93901,,0.638367347,0.595935445
270,Cerritos College,Norwalk,90650-6298,,0.080393487,0.051959489
271,Cerro Coso Community College,Ridgecrest,93555-9571,,PrivacySuppressed,PrivacySuppressed
272,Chabot College,Hayward,94545,,0.070404172,0.052447552
273,Chaffey College,Rancho Cucamonga,91737-3002,,PrivacySuppressed,PrivacySuppressed
274,Chapman University,Orange,92866,,0.755988024,0.672376874
275,Charles R Drew University of Medicine and Science,Los Angeles,90059,,PrivacySuppressed,PrivacySuppressed
276,Concordia University-Irvine,Irvine,92612-3203,,0.531609195,0.438356164
277,San Diego Christian College,Santee,92071,,0.375886525,0.230215827
278,Church Divinity School of the Pacific,Berkeley,94709-1211,,,
279,Citrus College,Glendora,91741-1899,,0.110834371,0.097686375
280,Citrus Heights Beauty College,Citrus Heights,95610-1410,,PrivacySuppressed,PrivacySuppressed
281,City College of San Francisco,San Francisco,94112-1898,,0.104868914,0.068379447
282,Claremont Graduate University,Claremont,91711-6160,,PrivacySuppressed,PrivacySuppressed
283,Claremont McKenna College,Claremont,91711-6400,,0.793650794,0.773584906
284,Milan Institute-Visalia,Visalia,93277,,0.747855918,0.662337662
285,Clovis Adult Education,Clovis,93611,,PrivacySuppressed,PrivacySuppressed
286,Coastline Community College,Fountain Valley,92708-2597,,0.147321429,0.089788732
287,Cogswell College,San Jose,95134,,0.416666667,0.273972603
288,Coleman University,San Diego,92123-1506,,0.509803922,0.56043956
289,Coba Cosmetology Academy,Orange,92866,,PrivacySuppressed,PrivacySuppressed
290,Western University of Health Sciences,Pomona,91766-1854,,PrivacySuppressed,PrivacySuppressed
291,Columbia College,Sonora,95370,,0.111111111,0.055813954
292,Columbia College-Hollywood,Tarzana,91356-1411,,0.606060606,0.456521739
293,El Camino College-Compton Center,Compton,90221-5393,,0.092581239,0.085214187
294,Contra Costa College,San Pablo,94806-3195,,0.037735849,0.031468532
295,Cosumnes River College,Sacramento,95823-5799,,0.053914328,0.048590865
296,Crafton Hills College,Yucaipa,92339-1799,,0.139293139,0.102244389
297,Cuesta College,San Luis Obispo,93403-8106,,0.139633286,0.100961539
298,Cuyamaca College,El Cajon,92019,,PrivacySuppressed,PrivacySuppressed
299,Cypress College,Cypress,90630-5897,,0.132428941,0.08209607
300,De Anza College,Cupertino,95014,,PrivacySuppressed,PrivacySuppressed
301,Marinello Schools of Beauty-Hemet,Hemet,92545,,PrivacySuppressed,PrivacySuppressed
302,International School of Beauty Inc,Palm Desert,92260-2740,,0.643835616,0.702380952
303,Dell'Arte International School of Physical Theatre,Blue Lake,95525-0816,,PrivacySuppressed,PrivacySuppressed
304,College of the Desert,Palm Desert,92260,,0.110723627,0.105699482
305,Design Institute of San Diego,San Diego,92121,,PrivacySuppressed,PrivacySuppressed
306,Diablo Valley College,Pleasant Hill,94523,,0.029411765,0.020289855
307,Dominican University of California,San Rafael,94901-2298,,0.629850746,0.563106796
308,Dominican School of Philosophy & Theology,Berkeley,94708-1816,,,
309,East Los Angeles College,Monterey Park,91754-6099,,0.076426959,0.069273268
310,Marinello Schools of Beauty-Santa Clara,Santa Clara,95050,,0.60455192,0.52173913
311,El Camino Community College District,Torrance,90506,,0.092581239,0.085214187
312,Elegance International,Hollywood,90028-6106,,PrivacySuppressed,PrivacySuppressed
313,Marinello Schools of Beauty-Burbank,Burbank,91502,,PrivacySuppressed,PrivacySuppressed
314,Marinello Schools of Beauty-Moreno Valley,Moreno Valley,92553,,PrivacySuppressed,PrivacySuppressed
315,Emperor's College of Traditional Oriental Medicine,Santa Monica,90403,,PrivacySuppressed,PrivacySuppressed
316,Empire College,Santa Rosa,95403-2126,,0.634241245,0.569620253
317,Evergreen Valley College,San Jose,95135-1598,,0.104972376,0.054739653
318,FIDM-Fashion Institute of Design & Merchandising-Los Angeles,Los Angeles,90015-1421,,0.616990291,0.506369427
319,FIDM-Fashion Institute of Design & Merchandising-San Francisco,San Francisco,94108-5805,,0.616990291,0.506369427
320,FIDM-Fashion Institute of Design & Merchandising-Orange County,Irvine,92614-5610,,0.616990291,0.506369427
321,Feather River Community College District,Quincy,95971-9124,,0.201970443,0.141361257
322,Federico Beauty Institute,Sacramento,95834,,PrivacySuppressed,PrivacySuppressed
323,Fielding Graduate University,Santa Barbara,93105-3538,,PrivacySuppressed,PrivacySuppressed
324,Five Branches University,Santa Cruz,95062,,PrivacySuppressed,PrivacySuppressed
325,Redondo Beach Beauty College,Redondo Beach,90278-3111,,,
326,Foothill College,Los Altos Hills,94022,,0.112391931,0.062857143
327,Franciscan School of Theology,Oceanside,92057,,,
328,Fredrick and Charles Beauty College,Eureka,95501,,PrivacySuppressed,PrivacySuppressed
329,Fresno City College,Fresno,93741,,0.090806754,0.055833654
330,Fresno Pacific University,Fresno,93702-4709,,0.415068493,0.314447592
331,Fuller Theological Seminary in California,Pasadena,91182,,PrivacySuppressed,PrivacySuppressed
332,Fullerton College,Fullerton,92832-2095,,PrivacySuppressed,PrivacySuppressed
333,Gavilan College,Gilroy,95020,,0.22818792,0.133016627
334,Gemological Institute of America-Carlsbad,Carlsbad,92008,,PrivacySuppressed,PrivacySuppressed
335,Glendale Community College,Glendale,91208-2894,,PrivacySuppressed,PrivacySuppressed
336,Glendale Career College,Glendale,91203,,0.8125,0.831460674
337,Golden Gate University-San Francisco,San Francisco,94105-2968,,0.471264368,0.418918919
338,Golden West College,Huntington Beach,92647-2710,,0.186602871,0.150313152
339,Graduate Theological Union,Berkeley,94709,,PrivacySuppressed,PrivacySuppressed
340,Grossmont College,El Cajon,92020-1799,,0.085302594,0.066204773
341,Salon Success Academy-Riverside,Riverside,92506,,PrivacySuppressed,PrivacySuppressed
342,Hartnell College,Salinas,93901,,0.10911271,0.100436681
343,Harvey Mudd College,Claremont,91711,,PrivacySuppressed,PrivacySuppressed
344,Heald College-Rancho Cordova,Rancho Cordova,95670,,0.218098773,0.194837124
345,Heald College-Fresno,Fresno,93704,,0.218098773,0.194837124
346,Heald College-San Jose,Milpitas,95035-8008,,0.218098773,0.194837124
347,Heald College-San Francisco,San Francisco,94103,,0.218098773,0.194837124
348,Heald College-Concord,Concord,94520-0522,,0.218098773,0.194837124
349,Hilltop Beauty School,Daly City,94014,,PrivacySuppressed,PrivacySuppressed
350,Holy Names University,Oakland,94619-1699,,0.433962264,0.359550562
351,Pacifica Graduate Institute,Carpinteria,93013,,,
352,Humboldt State University,Arcata,95521-8299,,0.454101563,0.413394919
353,Humphreys University-Stockton and Modesto Campuses,Stockton,95207-3896,,0.244318182,0.215686275
354,Imperial Valley College,Imperial,92251-0158,,0.082792208,0.05177665
355,Institute for Business and Technology,Santa Clara,95051-1303,,0.619496855,0.546436285
356,Interior Designers Institute,Newport Beach,92660,,PrivacySuppressed,PrivacySuppressed
357,Toni & Guy Hairdressing Academy-Santa Monica,Santa Monica,90401,,PrivacySuppressed,PrivacySuppressed
358,Irvine Valley College,Irvine,92618-0301,,0.169811321,0.157258065
359,ITT Technical Institute-National City,National City,91950,,0.403152496,0.452518746
360,ITT Technical Institute-San Dimas,San Dimas,91773,,0.403152496,0.452518746
361,ITT Technical Institute-Orange,Orange,92868,,0.403152496,0.452518746
362,Bellus Academy-El Cajon,El Cajon,92021,,PrivacySuppressed,PrivacySuppressed
