INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
Southeastern Bible College,Birmingham,35244-2083,,,
Stillman College,Tuscaloosa,35401,,,
Talladega College,Talladega,35160,,,
H Councill Trenholm State Community College,Montgomery,36108-3199,,,
Troy State University-Dothan Campus,Dothan,36304,,,
TROY STATE UNIVERSITY-PHENIX CITY,PHENIX CITY,36869,,,
Troy State University-Montgomery,Montgomery,36103-4419,,,
Troy University,Troy,36082-0001,,,
Tuskegee University,Tuskegee,36088-1920,,,
United States Sports Academy,Daphne,36526-7055,,,
Bevill State Community College,Jasper,35501,,,
University of Alaska Anchorage,Anchorage,99508,,,
University of Alaska Fairbanks,Fairbanks,99775-7500,,,
University of Alaska Southeast,Juneau,99801-8697,,,
Alaska Pacific University,Anchorage,99508,,,
AVTEC-Alaska's Institute of Technology,Seward,99664-0889,,,
Charter College,Vancouver,98683-7575,,,
NEW CONCEPTS BEAUTY SCHOOL INC,FAIRBANKS,99709-3549,,,
Prince William Sound Community College,Valdez,99686-0097,,,
Sheldon Jackson College,Sitka,99835-7699,,,
Alaska Career College,Anchorage,99507-1033,,,
Everest College-Phoenix,Phoenix,85021-1641,,,
Collins College,Phoenix,85040,,,
Empire Beauty School-Paradise Valley,Phoenix,85032,,,
Empire Beauty School-Tucson,Tucson,85716,,,
Thunderbird School of Global Management,Glendale,85306-6000,,,
American Indian College Inc,Phoenix,85021,,,
American Institute of Trucking,Phoenix,85043-4729,,,
Carrington College-Phoenix North,Phoenix,85051-4063,,,
Carrington College-Mesa,Mesa,85210,,,
Carrington College-Tucson,Tucson,85745,,,
CollegeAmerica-Flagstaff,Flagstaff,86001,,,
Arizona Academy of Beauty-East,Tucson,85712,,,
Arizona Automotive Institute,Glendale,85301-3579,,,
Brookline College-Phoenix,Phoenix,85021,,,
Arizona State University-Tempe,Tempe,85287,,,
Arizona Western College,Yuma,85365-8834,,,
University of Arizona,Tucson,85721-0066,,,
Southwest University of Visual Arts-Tucson,Tucson,85716,,,
Brillare Hairdressing Academy,Scottsdale,85254,,,
Central Arizona College,Coolidge,85128-9030,,,
Brown Mackie College-Tucson,Tucson,85712,,,
Charles of Italy Beauty College,Lake Havasu City,86403,,,
Cochise County Community College District,Douglas,85607-6190,,,
Empire Beauty School-Flagstaff,Flagstaff,86004,,,
Empire Beauty School-Chandler,Chandler,85224,,,
Cortiva Institute-Tucson,Tucson,85710,,,
DeVoe College of Beauty,Sierra Vista,85635-1832,,,
DeVry University-Arizona,Phoenix,85021-2995,,,
Avalon School of Cosmetology-Mesa,Mesa,85210,,,
Eastern Arizona College,Thatcher,85552-0769,,,
Glendale Community College,Glendale,85302,,,
Grand Canyon University,Phoenix,85017,,,
Anthem College-Phoenix,Phoenix,85014,,,
International Academy of Hair Design,Tempe,85282-6730,,,
Lamson College,Tempe,85284,,,
Kaplan College-Phoenix,Phoenix,85029,,,
Maricopa Beauty College LLC,Avondale,85323,,,
GateWay Community College,Phoenix,85034,,,
Mesa Community College,Mesa,85202,,,
ITT Technical Institute-Tucson,Tucson,85704-5829,,,
ITT Technical Institute-Tempe,Tempe,85282,,,
Mohave Community College,Kingman,86409-1238,,,
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,85027,,,
Mundus Institute,Phoenix,85015,,,
Dine College,Tsaile,86556,,,
Northern Arizona University,Flagstaff,86011-4092,,,
Northland Pioneer College,Holbrook,86025-0610,,,
Ottawa University-Phoenix,Phoenix,85021,,,
Empire Beauty School-Glendale,Glendale,85304,,,
Phoenix College,Phoenix,85013,,,
Cortiva Institute-Scottsdale,Scottsdale,85257,,,
University of Phoenix-Phoenix Campus,Tempe,85282-2371,,,
Pima Community College,Tucson,85709-1275,,,
Pima Medical Institute-Tucson,Tucson,85716,,,
Pima Medical Institute-Albuquerque,Albuquerque,87110,,,
Prescott College,Prescott,86301,,,
Refrigeration School Inc,Phoenix,85034-1816,,,
Rio Salado College,Tempe,85281,,,
Roberto-Venn School of Luthiery,Phoenix,85007,,,
Scottsdale Community College,Scottsdale,85256,,,
South Mountain Community College,Phoenix,85042,,,
Long Technical College-East Valley,Phoenix,85008-1716,,,
Arizona Christian University,Phoenix,85032-7097,,,
Tucson College,Tucson,85711,,,
Universal Technical Institute of Arizona Inc,Avondale,85323,,,
Metropolitan College,Phoenix,85008-6940,,,
Western International University,Tempe,85282,,,
Empire Beauty School-NW Phoenix,Phoenix,85051,,,
Yavapai College,Prescott,86301,,,
University of Arkansas at Little Rock,Little Rock,72204,,,
University of Arkansas for Medical Sciences,Little Rock,72205-7199,,,
ABC Beauty College Inc,Arkadelphia,71923,,,
Arkansas Baptist College,Little Rock,72202-6068,,,
Arkansas Beauty School-Little Rock,Little Rock,72209,,,
Lyon College,Batesville,72501,,,
Arkansas College of Barbering and Hair Design,North Little Rock,72114,,,
Arthur's Beauty College Inc-Fort Smith,Fort Smith,72901-3342,,,
University of Arkansas,Fayetteville,72701,,,
University of Arkansas at Pine Bluff,Pine Bluff,71601,,,
Arkansas State University-Beebe,Beebe,72012-1000,,,
Arkansas State University-Main Campus,Jonesboro,72401,,,
Arkansas Tech University,Russellville,72801-2222,,,
ARKANSAS VALLEY TECHNICAL INSTITUTE,OZARK,72949,,,
University of Arkansas at Monticello,Monticello,71656,,,
Arthur's Beauty College Inc-Jacksonville,Jacksonville,72076,,,
Baptist Health College-Little Rock,Little Rock,72210-2820,,,
Bee Jays Academy,Batesville,72501,,,
Black River Technical College,Pocahontas,72455,,,
University of Central Arkansas,Conway,72035-0001,,,
Central Baptist College,Conway,72034,,,
Blytheville Academy of Cosmetology,Blytheville,72315,,,
Cossatot Community College of the University of Arkansas,De Queen,71832,,,
COTTON BOLL TECHNICAL INSTITUTE,BURDETTE,72321,,,
Crowley's Ridge College,Paragould,72450,,,
Crowley's Ridge Technical Institute,Forrest City,72335-0925,,,
De Luxe Beauty School,Pine Bluff,71603-1666,,,
DELTA TECHNICAL INSTITUTE,MARKED TREE,72365,,,
East Arkansas Community College,Forrest City,72335-2204,,,
Eastern College of Health Vocations-Little Rock,Little Rock,72205,,,
Imagine-Paul Mitchell Partner School,North Little Rock,72117,,,
ARKANSAS STATE UNIVERSITY-SEARCY,SEARCY,72143,,,
FOREST ECHOES TECHNICAL INSTITUTE,CROSSETT,71635,,,
National Park College,Hot Springs,71913,,,
University of Arkansas Community College-Batesville,Batesville,72503-3350,,,
GREAT RIVERS TECHNICAL INSTITUTE,MCGEHEE,71654-0747,,,
Harding University Graduate School of Religion,Memphis,38117-5499,,,
Harding University,Searcy,72149-5615,,,
Henderson State University,Arkadelphia,71999-0001,,,
Hendrix College,Conway,72032-3080,,,
Hot Springs Beauty College,Hot Springs,71901,,,
Jefferson Regional Medical Center School of Nursing,Pine Bluff,71603,,,
John Brown University,Siloam Springs,72761,,,
Lees School of Cosmetology,North  Little Rock,72114-3800,,,
Career Academy of Hair Design,Springdale,72764-7128,,,
MARCEL-ROYALE BEAUTY ACADEMY,ROGERS,72756,,,
Marsha Kay Beauty College,Mountain Home,72653-3164,,,
Academy of Salon and Spa,Fort Smith,72901,,,
Arkansas State University Mid-South,West Memphis,72301-3829,,,
Arkansas Northeastern College,Blytheville,72316-1109,,,
New Tyler Barber College Inc,North Little Rock,72114-4973,,,
North Arkansas College,Harrison,72601-5508,,,
Northwest Technical Institute,Springdale,72764,,,
Ouachita Baptist University,Arkadelphia,71998-0001,,,
College of the Ouachitas,Malvern,72104-0816,,,
Ozarka College,Melbourne,72556-0010,,,
University of the Ozarks,Clarksville,72830,,,
University of Arkansas Community College-Morrilton,Morrilton,72110,,,
Philander Smith College,Little Rock,72202-3799,,,
Phillips Community College of the University of Arkansas,Helena,72342-0785,,,
Southeast Arkansas College,Pine Bluff,71603,,,
PROFESSIONAL BEAUTY COLLEGE INC,MONTICELLO,71655,,,
Professional Cosmetology Education Center,El Dorado,71730-4009,,,
Pulaski Technical College,North Little Rock,72118-3347,,,
QUAPAW TECHNICAL INSTITUTE,HOT SPRINGS,71913,,,
University of Arkansas Community College-Hope,Hope,71801,,,
Rich Mountain Community College,Mena,71953,,,
Paul Mitchell the School-Arkansas,Fayetteville,72703,,,
Searcy Beauty College,Searcy,72143,,,
Williams Baptist College,Walnut Ridge,72476,,,
SOUTHERN INSTITUTE OF COSMETOLOGY,Memphis,38118,,,
South Arkansas Community College,El Dorado,71731-7010,,,
Southern Arkansas University Main Campus,Magnolia,71753,,,
Southern Arkansas University Tech,Camden,71701-1906,,,
Velvatex College of Beauty Culture,Little Rock,72202-5452,,,
University of Arkansas-Fort Smith,Fort Smith,72913-3649,,,
Academy of Art University,San Francisco,94105,,,
ITT Technical Institute-Rancho Cordova,Rancho Cordova,95670-6034,,,
Academy of Chinese Culture and Health Sciences,Oakland,94612,,,
Academy of Professional Careers,San Diego,92120,,,
The Academy of Radio and TV Broadcasting,Huntington Beach,92647,,,
Academy Pacific Travel College,Los Angeles,90028-5218,,,
Avalon School of Cosmetology-Alameda,Alameda,94501,,,
College of Alameda,Alameda,94501,,,
Allan Hancock College,Santa Maria,93454-6399,,,
American Academy of Dramatic Arts-Los Angeles,Los Angeles,90028,,,
American Baptist Seminary of the West,Berkeley,94704-3029,,,
American Film Institute Conservatory,Los Angeles,90027-1625,,,
American Beauty College,West Covina,91790,,,
American InterContinental University,Los Angeles,90066,,,
American Career College-Los Angeles,Los Angeles,90004,,,
American Conservatory Theater,San Francisco,94108-5834,,,
American River College,Sacramento,95841-4286,,,
Everest College-Hayward,Hayward,94541,,,
Antelope Valley College,Lancaster,93536-5426,,,
Art Center College of Design,Pasadena,91103,,,
Associated Technical College-Los Angeles,Los Angeles,90017-1604,,,
Associated Technical College-San Diego,San Diego,92101,,,
Associated Technical College,Vista,92084,,,
Azusa Pacific University,Azusa,91702-7000,,,
Bakersfield College,Bakersfield,93305-1299,,,
Barstow Community College,Barstow,92311,,,
Bellus Academy-National City,National City,91950,,,
Bethany University,Scotts Valley,95066-2898,,,
Biola University,La Mirada,90639-0001,,,
Brooks College,Long Beach,90804,,,
Brooks Institute,Ventura,93001,,,
Brownson Technical School,Anaheim,92805,,,
Bryan University,Los Angeles,90010,,,
Butte College,Oroville,95965-8399,,,
Phillips Graduate University,Chatsworth,91311,,,
California Institute of Integral Studies,San Francisco,94103,,,
CALIFORNIA PARAMEDICAL AND TECHNICAL COLLEGE,RIVERSIDE,92505,,,
Cabrillo College,Aptos,95003,,,
California Baptist University,Riverside,92504-3297,,,
California College of the Arts,San Francisco,94107-2247,,,
University of California-Hastings College of Law,San Francisco,94102-4978,,,
California Institute of Technology,Pasadena,91125,,,
California Lutheran University,Thousand Oaks,91360-2787,,,
California Polytechnic State University-San Luis Obispo,San Luis Obispo,93407,,,
Alliant International University,Fresno,93727,,,
Alliant International University,Alhambra,91803-1360,,,
Alliant International University-San Diego,San Diego,92131,,,
Alliant International University,San Francisco,94133-1221,,,
California State University-Bakersfield,Bakersfield,93311-1099,,,
California State University-Stanislaus,Turlock,95382-0299,,,
California State University-San Bernardino,San Bernardino,92407-2397,,,
California State Polytechnic University-Pomona,Pomona,91768,,,
California State University-Chico,Chico,95929-0150,,,
California State University-Dominguez Hills,Carson,90747-0005,,,
California State University-Fresno,Fresno,93740,,,
California State University-Fullerton,Fullerton,92831-3599,,,
California State University-East Bay,Hayward,94542,,,
California State University-Long Beach,Long Beach,90840-0115,,,
California State University-Los Angeles,Los Angeles,90032-8506,,,
California State University-Northridge,Northridge,91330,,,
California State University-Sacramento,Sacramento,95819-2694,,,
University of California-Berkeley,Berkeley,94720,,,
University of California-Davis,Davis,95616-8678,,,
University of California-Irvine,Irvine,92697,,,
University of California-Los Angeles,Los Angeles,90095-1405,,,
University of California-Riverside,Riverside,92521,,,
University of California-San Diego,La Jolla,92093,,,
University of California-San Francisco,San Francisco,94143-0244,,,
University of California-Santa Barbara,Santa Barbara,93106,,,
University of California-Santa Cruz,Santa Cruz,95064-1011,,,
Sofia University,Palo Alto,94303,,,
California Beauty School,Modesto,95354,,,
CALIFORNIA BUSINESS INSTITUTE,EL MONTE,91731,,,
California Christian College,Fresno,93727,,,
California College San Diego,San Diego,92111-1009,,,
CALIFORNIA COLLEGE OF PODIATRIC MEDICINE,VALLEJO,94590-6957,,,
Le Cordon Bleu College of Culinary Arts-San Francisco,San Francisco,94103,,,
California Hair Design Academy,La Mesa,91941-5055,,,
California Institute of the Arts,Valencia,91355-2397,,,
California State University Maritime Academy,Vallejo,94590,,,
CALIFORNIA PARAMEDICAL AND TECHNICAL COLLEGE,LONG BEACH,90807-3377,,,
California Western School of Law,San Diego,92101-3046,,,
Canada College,Redwood City,94061-1099,,,
College of the Canyons,Santa Clarita,91355-1899,,,
Career Academy of Beauty,Garden Grove,92845,,,
Casa Loma College-Van Nuys,Van Nuys,91405,,,
Cerritos College,Norwalk,90650-6298,,,
Cerro Coso Community College,Ridgecrest,93555-9571,,,
Chabot College,Hayward,94545,,,
Chaffey College,Rancho Cucamonga,91737-3002,,,
Chapman University,Orange,92866,,,
Charles R Drew University of Medicine and Science,Los Angeles,90059,,,
Concordia University-Irvine,Irvine,92612-3203,,,
San Diego Christian College,Santee,92071,,,
Church Divinity School of the Pacific,Berkeley,94709-1211,,,
Citrus College,Glendora,91741-1899,,,
City College of San Francisco,San Francisco,94112-1898,,,
Claremont Graduate University,Claremont,91711-6160,,,
Claremont McKenna College,Claremont,91711-6400,,,
Milan Institute-Visalia,Visalia,93277,,,
Cleveland Chiropractic College of Los Angeles,Los Angeles,90004-2196,,,
Clovis Adult Education,Clovis,93611,,,
Coastline Community College,Fountain Valley,92708-2597,,,
Cogswell College,San Jose,95134,,,
Coleman University,San Diego,92123-1506,,,
Coba Cosmetology Academy,Orange,92866,,,
National Polytechnic College of Science,Wilmington,90744-6399,,,
Western University of Health Sciences,Pomona,91766-1854,,,
Columbia College,Sonora,95370,,,
Columbia College-Hollywood,Tarzana,91356-1411,,,
El Camino College-Compton Center,Compton,90221-5393,,,
COMPUTER LEARNING CENTERS INC,LOS ANGELES,90010,,,
COMPUTER LEARNING CENTERS INC,SAN JOSE,951131109,,,
COMPUTER LEARNING CENTERS INC OF ANAHEIM,ANAHEIM,92805,,,
CONTEMPO SCHOOL OF BEAUTY,INGLEWOOD,90301,,,
Western Beauty Institute,Panorama City,91402,,,
Contra Costa College,San Pablo,94806-3195,,,
Cosumnes River College,Sacramento,95823-5799,,,
BRYAN COLLEGE-SAN FRANCISCO,SAN FRANCISCO,94103,,,
Crafton Hills College,Yucaipa,92339-1799,,,
Cuesta College,San Luis Obispo,93403-8106,,,
Cuyamaca College,El Cajon,92019,,,
Marinello Schools of Beauty-Bell,Bell,90201,,,
Cypress College,Cypress,90630-5897,,,
D-Q UNIVERSITY,DAVIS,95617-040,,,
DANIEL FREEMAN HOSPITAL PARAMEDIC SCHOOL,INGLEWOOD,903014514,,,
De Anza College,Cupertino,95014,,,
DEEP SPRINGS COLLEGE,DYER,89010-9803,,,
Dell'Arte International School of Physical Theatre,Blue Lake,95525-0816,,,
College of the Desert,Palm Desert,92260,,,
Design Institute of San Diego,San Diego,92121,,,
DeVry University-California,Pomona,91768-2642,,,
Diablo Valley College,Pleasant Hill,94523,,,
Dominican University of California,San Rafael,94901-2298,,,
Dominican School of Philosophy & Theology,Berkeley,94708-1816,,,
Don Bosco Technical Institute,Rosemead,91770-4299,,,
East Los Angeles College,Monterey Park,91754-6099,,,
EAST LOS ANGELES OCCUPATIONAL CENTER,LOS ANGELES,90033,,,
Marinello Schools of Beauty-Santa Clara,Santa Clara,95050,,,
San Diego Continuing Education,San Diego,92113,,,
El Camino Community College District,Torrance,90506,,,
Marinello Schools of Beauty-City of Industry,City of Industry,91748,,,
Marinello Schools of Beauty-Burbank,Burbank,91502,,,
Marinello Schools of Beauty-Moreno Valley,Moreno Valley,92553,,,
Emperor's College of Traditional Oriental Medicine,Santa Monica,90403,,,
Empire College,Santa Rosa,95403-2126,,,
Evergreen Valley College,San Jose,95135-1598,,,
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,Los Angeles,90015-1421,,,
Fashion Careers College,San Diego,921103555,,,
FIDM-Fashion Institute of Design & Merchandising-San Francisco,San Francisco,94108-5805,,,
FIDM-Fashion Institute of Design & Merchandising-Orange County,Irvine,92614-5610,,,
Feather River Community College District,Quincy,95971-9124,,,
Federico Beauty Institute,Sacramento,95834,,,
Fielding Graduate University,Santa Barbara,93105-3538,,,
Five Branches University,Santa Cruz,95062,,,
Foothill College,Los Altos Hills,94022,,,
Fredrick and Charles Beauty College,Eureka,95501,,,
Fresno City College,Fresno,93741,,,
Fresno Pacific University,Fresno,93702-4709,,,
Fuller Theological Seminary in California,Pasadena,91182,,,
Fullerton College,Fullerton,92832-2095,,,
Galen College of Medical and Dental Assistants,Modesto,95350,,,
Galen College of Medical and Dental Assistants,Clovis,93611-4002,,,
Galen College of Medical and Dental Assistants,Visalia,93277,,,
Gavilan College,Gilroy,95020,,,
Gemological Institute of America-Carlsbad,Carlsbad,92008,,,
Glendale Community College,Glendale,91208-2894,,,
Glendale Career College,Glendale,91203,,,
GOLDEN GATE UNIVERSITY-MONTEREY,Marina,93933,,,
Golden Gate University-San Francisco,San Francisco,94105-2968,,,
Golden West College,Huntington Beach,92647-2710,,,
Graduate Theological Union,Berkeley,94709,,,
Grossmont College,El Cajon,92020-1799,,,
Salon Success Academy-Riverside,Riverside,92506,,,
Harbor Occupational Center,San Pedro,90731,,,
Hartnell College,Salinas,93901,,,
Harvey Mudd College,Claremont,91711,,,
Heald College-Rancho Cordova,Rancho Cordova,95670,,,
Heald College-Fresno,Fresno,93704,,,
HEALD COLLEGE-SANTA ROSA,SANTA ROSA,95403,,,
Heald College-San Jose,Milpitas,95035-8008,,,
Heald College-San Francisco,San Francisco,94103,,,
Heald College-Concord,Concord,94520-0522,,,
HEALD COLLEGE-MARTINEZ,Concord,94520,,,
Hilltop Beauty School,Daly City,94014,,,
Holy Names University,Oakland,94619-1699,,,
Pacifica Graduate Institute,Carpinteria,93013,,,
Humboldt State University,Arcata,95521-8299,,,
Humphreys University-Stockton and Modesto Campuses,Stockton,95207-3896,,,
HUNTINGTON COLLEGE OF DENTAL TECHNOLOGY,WESTMINSTER,92683,,,
HUNTINGTON MEMORIAL HOSPITAL SCHOOL OF XRAY TECHN,PASADENA,911097013,,,
Imperial Valley College,Imperial,92251-0158,,,
Institute for Business and Technology,Santa Clara,95051-1303,,,
LA College International,Los Angeles,900101308,,,
Interior Designers Institute,Newport Beach,92660,,,
INTERNATIONAL AIR ACADEMY,ONTARIO,91764-480,,,
Toni & Guy Hairdressing Academy-Santa Monica,Santa Monica,90401,,,
Irvine Valley College,Irvine,92618-0301,,,
ITT Technical Institute-National City,National City,91950,,,
ITT Technical Institute-San Dimas,San Dimas,91773,,,
ITT Technical Institute-Orange,Orange,92868,,,
Bellus Academy-El Cajon,El Cajon,92021,,,
Jesuit School of Theology of Santa Clara University,Berkeley,94709,,,
John F. Kennedy University,Pleasant Hill,94523-4817,,,
American Jewish University,Los Angeles,90077-1519,,,
Reedley College,Reedley,93654,,,
Life Pacific College,San Dimas,91773-3298,,,
Argosy University-The Art Institute of California-San Diego,San Diego,92108-4423,,,
University of La Verne,La Verne,91750-4401,,,
Laguna College of Art and Design,Laguna Beach,92651,,,
Lake Forest Beauty College,Lake Forest,92630-1624,,,
Lake Tahoe Community College,South Lake Tahoe,96150,,,
Lancaster Beauty School,Lancaster,93534,,,
Laney College,Oakland,94607,,,
Lassen Community College,Susanville,96130,,,
Life Chiropractic College West,Hayward,94545-2800,,,
Southern California Seminary,El Cajon,92019-1108,,,
La Sierra University,Riverside,92515-8247,,,
Loma Linda University,Loma Linda,92350,,,
Long Beach City College,Long Beach,90808-1706,,,
Southern California University of Health Sciences,Whittier,90604,,,
Los Angeles Harbor College,Wilmington,90744-2397,,,
Los Angeles Pierce College,Woodland Hills,91371-0002,,,
Los Angeles Southwest College,Los Angeles,90047-4899,,,
Los Angeles Trade Technical College,Los Angeles,90015-4181,,,
Los Angeles Valley College,Valley Glen,91401-4096,,,
The Master's University and Seminary,Santa Clarita,91321-1200,,,
Los Angeles City College,Los Angeles,90029,,,
Los Angeles County College of Nursing and Allied Health,Los Angeles,90033-1084,,,
Los Angeles Mission College,Sylmar,91342-3200,,,
Los Medanos College,Pittsburg,94565,,,
Argosy University-The Art Institute of California-San Francisco,San Francisco,94102-4908,,,
LOYOLA LAW SCHOOL,LOS ANGELES,90015-1211,,,
Loyola Marymount University,Los Angeles,90045-2659,,,
Manchester Beauty College,Fresno,93726,,,
Tulare Beauty College,Tulare,93274,,,
Lyles Fresno College of Beauty,Fresno,93710,,,
Lytles Redwood Empire Beauty College Inc,Santa Rosa,95403,,,
MTI Business College Inc,Stockton,95207-4349,,,
MTI College,Sacramento,95841-9817,,,
Brightwood College-Sacramento,Sacramento,95821,,,
Brightwood College-San Diego,San Diego,92123,,,
Brightwood College-Vista,Vista,92083-7736,,,
MARIN BEAUTY COLLEGE,SAN RAFAEL,94901,,,
College of Marin,Kentfield,94904-2590,,,
Marinello Schools of Beauty-Los Angeles,Los Angeles,90023,,,
Marinello School of Beauty,Inglewood,90301,,,
Marinello School of Beauty,Whittier,90601,,,
Marinello School of Beauty,Los Angeles,90041,,,
Marinello School of Beauty,Reseda,91335,,,
Marinello School of Beauty,North Hollywood,91606,,,
Marinello School of Beauty,Ontario,91764,,,
Marinello School of Beauty,San Diego,92126,,,
Marinello School of Beauty,San Bernardino,92410,,,
Marinello School of Beauty,West Covina,91790,,,
Marymount California University,Rancho Palos Verdes,90275-6299,,,
MASTERS INSTITUTE,SAN JOSE,95110,,,
UNIVERSITY OF THE PACIFIC-MCGEORGE SCHOOL OF LAW,SACRAMENTO,95817,,,
Mendocino College,Ukiah,95482,,,
Menlo College,Atherton,94027-4301,,,
Mennonite Brethren Biblical Seminary,Fresno,93727-5097,,,
Merced College,Merced,95348-2898,,,
Merritt College,Oakland,94619-3196,,,
Mills College,Oakland,94613,,,
MiraCosta College,Oceanside,92056-3899,,,
Marinello Schools of Beauty-San Francisco,San Francisco,94103,,,
Mission College,Santa Clara,95054-1897,,,
Modern Beauty Academy,Oxnard,93030,,,
Brightwood College-North Hollywood,North Hollywood,91606-3231,,,
Modesto Junior College,Modesto,95350-5800,,,
MOLER BARBER COLLEGE,SAN FRANCISCO,941022890,,,
Moler Barber College,Oakland,94609-2419,,,
Middlebury Institute of International Studies at Monterey,Monterey,93940,,,
Monterey Peninsula College,Monterey,93940-4799,,,
MONTESSORI WESTERN TEACHER TRAINING PROGRAM,GARDEN GROVE,92845,,,
Moorpark College,Moorpark,93021-1695,,,
MORO BEAUTY COLLEGE,GLENDALE,91203,,,
Mt San Antonio College,Walnut,91789-1399,,,
Mount Saint Mary's University,Los Angeles,90049-1599,,,
Mt San Jacinto Community College District,San Jacinto,92583-2399,,,
Musicians Institute,Hollywood,90028,,,
Napa Valley College,Napa,94558-6236,,,
Everest College-San Francisco,San Francisco,94103-9946,,,
Everest College-Reseda,Reseda,91335-4631,,,
Everest College-LA Wilshire,Los Angeles,90010,,,
Everest College-San Jose,San Jose,95128,,,
Everest College-Gardena,Gardena,90247,,,
Everest College-Alhambra,Alhambra,91803,,,
Everest College-San Bernardino,San Bernardino,92408,,,
The National Hispanic University,San Jose,95127-3823,,,
National Holistic Institute,Emeryville,94608-2008,,,
National University,La Jolla,92037-1011,,,
NEW COLLEGE FOR ADVANCED CHRISTIAN STUDY-BERKELEY,BERKELEY,94704,,,
New College of California,San Francisco,94110,,,
Newschool of Architecture and Design,San Diego,92101,,,
Marinello School of Beauty,Los Angeles,90048,,,
NEWBERRY SCHOOL OF BEAUTY,WEST HILLS,91307,,,
Newberry School of Beauty,Granada Hills,91344-7401,,,
North Adrian's College of Beauty Inc,Modesto,95350-2381,,,
North-West College-Pomona,Pomona,91768,,,
North-West College-West Covina,West Covina,91790,,,
North-West College-Pasadena,Pasadena,91101,,,
Notre Dame de Namur University,Belmont,94002-1908,,,
Occidental College,Los Angeles,90041-3392,,,
Oceanside College of Beauty,Oceanside,92054-5356,,,
Ohlone College,Fremont,94539-0390,,,
Orange Coast College,Costa Mesa,92626,,,
Otis College of Art and Design,Los Angeles,90045-3505,,,
Oxnard College,Oxnard,93033-6699,,,
