INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
Shelton State Community College,Tuscaloosa,35405-8522,,PrivacySuppressed,PrivacySuppressed
Snead State Community College,Boaz,35957-0734,,PrivacySuppressed,PrivacySuppressed
University of South Alabama,Mobile,36688-0002,,0.248106061,0.208333333
UNIVERSITY OF SOUTH ALABAMA-BALDWIN,FAIRHOPE,36532-2520,,0.248106061,0.208333333
Southern Community College,Tuskegee,36083-0688,,PrivacySuppressed,PrivacySuppressed
Spring Hill College,Mobile,36608-1791,,0.407692308,0.424528302
Southeastern Bible College,Birmingham,35244-2083,,PrivacySuppressed,PrivacySuppressed
Stillman College,Tuscaloosa,35401,,0.244444444,0.162162162
Talladega College,Talladega,35160,,PrivacySuppressed,PrivacySuppressed
H Councill Trenholm State Community College,Montgomery,36108-3199,,PrivacySuppressed,PrivacySuppressed
Troy State University-Dothan Campus,Dothan,36304,,PrivacySuppressed,PrivacySuppressed
TROY STATE UNIVERSITY-PHENIX CITY,PHENIX CITY,36869,,0.079166667,0.059366755
Troy State University-Montgomery,Montgomery,36103-4419,,0.171296296,0.106382979
Troy University,Troy,36082-0001,,0.079166667,0.059366755
Tuskegee University,Tuskegee,36088-1920,,0.085271318,0.042424242
United States Sports Academy,Daphne,36526-7055,,PrivacySuppressed,PrivacySuppressed
Bevill State Community College,Jasper,35501,,PrivacySuppressed,PrivacySuppressed
University of Alaska Anchorage,Anchorage,99508,,0.077455048,0.054673721
University of Alaska Fairbanks,Fairbanks,99775-7500,,0.144278607,0.11409396
University of Alaska Southeast,Juneau,99801-8697,,PrivacySuppressed,PrivacySuppressed
Alaska Pacific University,Anchorage,99508,,0.274509804,0.384615385
AVTEC-Alaska's Institute of Technology,Seward,99664-0889,,PrivacySuppressed,PrivacySuppressed
Charter College,Vancouver,98683-7575,,0.229166667,0.341040462
Prince William Sound Community College,Valdez,99686-0097,,0.077455048,0.054673721
Sheldon Jackson College,Sitka,99835-7699,,PrivacySuppressed,PrivacySuppressed
Alaska Career College,Anchorage,99507-1033,,0.662162162,0.714285714
Everest College-Phoenix,Phoenix,85021-1641,,0.397260274,0.342105263
Collins College,Phoenix,85040,,0.611940299,0.543293718
Empire Beauty School-Paradise Valley,Phoenix,85032,,PrivacySuppressed,PrivacySuppressed
Empire Beauty School-Tucson,Tucson,85716,,PrivacySuppressed,PrivacySuppressed
Thunderbird School of Global Management,Glendale,85306-6000,,PrivacySuppressed,PrivacySuppressed
American Indian College Inc,Phoenix,85021,,PrivacySuppressed,PrivacySuppressed
American Institute of Trucking,Phoenix,85043-4729,,0.814285714,0.79338843
Carrington College-Phoenix North,Phoenix,85051-4063,,0.569259962,0.622828784
Carrington College-Mesa,Mesa,85210,,0.569259962,0.622828784
Carrington College-Tucson,Tucson,85745,,0.569259962,0.622828784
CollegeAmerica-Flagstaff,Flagstaff,86001,,PrivacySuppressed,PrivacySuppressed
Arizona Academy of Beauty-East,Tucson,85712,,PrivacySuppressed,PrivacySuppressed
Arizona Automotive Institute,Glendale,85301-3579,,0.513157895,0.535353535
Brookline College-Phoenix,Phoenix,85021,,0.446490219,0.436123348
Arizona State University-Tempe,Tempe,85287,,0.191851627,0.165023731
Arizona Western College,Yuma,85365-8834,,0.032352941,0.026584867
University of Arizona,Tucson,85721-0066,,0.264949402,0.234975636
Southwest University of Visual Arts-Tucson,Tucson,85716,,0.470149254,0.3984375
Brillare Hairdressing Academy,Scottsdale,85254,,PrivacySuppressed,PrivacySuppressed
Central Arizona College,Coolidge,85128-9030,,0.061349693,0.08411215
Brown Mackie College-Tucson,Tucson,85712,,0.399082569,0.321167883
Charles of Italy Beauty College,Lake Havasu City,86403,,PrivacySuppressed,PrivacySuppressed
Cochise County Community College District,Douglas,85607-6190,,0.098591549,0.094117647
Empire Beauty School-Flagstaff,Flagstaff,86004,,PrivacySuppressed,PrivacySuppressed
Empire Beauty School-Chandler,Chandler,85224,,PrivacySuppressed,PrivacySuppressed
Cortiva Institute-Tucson,Tucson,85710,,PrivacySuppressed,PrivacySuppressed
DeVoe College of Beauty,Sierra Vista,85635-1832,,PrivacySuppressed,PrivacySuppressed
DeVry University-Arizona,Phoenix,85021-2995,,0.107701216,0.11273164
Avalon School of Cosmetology-Mesa,Mesa,85210,,PrivacySuppressed,PrivacySuppressed
Eastern Arizona College,Thatcher,85552-0769,,PrivacySuppressed,PrivacySuppressed
Embry-Riddle Aeronautical University-Prescott,Prescott,86301-3720,,0.110887097,0.108868061
Glendale Community College,Glendale,85302,,0.012594458,0.014457831
Grand Canyon University,Phoenix,85017,,0.119341564,0.067484663
Anthem College-Phoenix,Phoenix,85014,,0.553191489,0.601167315
International Academy of Hair Design,Tempe,85282-6730,,PrivacySuppressed,PrivacySuppressed
Lamson College,Tempe,85284,,0.489130435,0.421052632
Kaplan College-Phoenix,Phoenix,85029,,0.535947712,0.6171875
Maricopa Beauty College LLC,Avondale,85323,,PrivacySuppressed,PrivacySuppressed
GateWay Community College,Phoenix,85034,,PrivacySuppressed,PrivacySuppressed
Mesa Community College,Mesa,85202,,PrivacySuppressed,PrivacySuppressed
ITT Technical Institute-Tucson,Tucson,85704-5829,,0.497076023,0.467889908
ITT Technical Institute-Tempe,Tempe,85282,,0.513274336,0.418918919
Mohave Community College,Kingman,86409-1238,,PrivacySuppressed,PrivacySuppressed
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,85027,,0.72666025,0.639821029
Mundus Institute,Phoenix,85015,,PrivacySuppressed,PrivacySuppressed
Dine College,Tsaile,86556,,PrivacySuppressed,PrivacySuppressed
Northern Arizona University,Flagstaff,86011-4092,,0.117868339,0.111736334
Northland Pioneer College,Holbrook,86025-0610,,PrivacySuppressed,PrivacySuppressed
Ottawa University-Phoenix,Phoenix,85021,,0.407058824,0.368055556
Empire Beauty School-Glendale,Glendale,85304,,PrivacySuppressed,PrivacySuppressed
Phoenix College,Phoenix,85013,,PrivacySuppressed,PrivacySuppressed
Cortiva Institute-Scottsdale,Scottsdale,85257,,PrivacySuppressed,PrivacySuppressed
University of Phoenix-Phoenix Campus,Tempe,85282-2371,,0.186698378,0.181800237
Pima Community College,Tucson,85709-1275,,0.034818228,0.022649279
Pima Medical Institute-Tucson,Tucson,85716,,0.48199446,0.501133787
Pima Medical Institute-Albuquerque,Albuquerque,87110,,0.48199446,0.501133787
Prescott College,Prescott,86301,,0.3125,0.303030303
Refrigeration School Inc,Phoenix,85034-1816,,0.862745098,0.613636364
Rio Salado College,Tempe,85281,,PrivacySuppressed,PrivacySuppressed
Roberto-Venn School of Luthiery,Phoenix,85007,,PrivacySuppressed,PrivacySuppressed
Hair Academy of Safford,Safford,85546,,PrivacySuppressed,PrivacySuppressed
Scottsdale Community College,Scottsdale,85256,,PrivacySuppressed,PrivacySuppressed
South Mountain Community College,Phoenix,85042,,PrivacySuppressed,PrivacySuppressed
Long Technical College-East Valley,Phoenix,85008-1716,,PrivacySuppressed,PrivacySuppressed
Arizona Christian University,Phoenix,85032-7097,,0.489795918,0.45
Tucson College,Tucson,85711,,0.60483871,0.541284404
Universal Technical Institute of Arizona Inc,Avondale,85323,,0.688821752,0.691756272
Metropolitan College,Phoenix,85008-6940,,PrivacySuppressed,PrivacySuppressed
Western International University,Tempe,85282,,0.226950355,0.277777778
Empire Beauty School-NW Phoenix,Phoenix,85051,,0.477272727,0.714285714
Yavapai College,Prescott,86301,,PrivacySuppressed,PrivacySuppressed
University of Arkansas at Little Rock,Little Rock,72204,,0.063706564,0.076103501
University of Arkansas for Medical Sciences,Little Rock,72205-7199,,0.728476821,0.816666667
ABC Beauty College Inc,Arkadelphia,71923,,PrivacySuppressed,PrivacySuppressed
Arkansas Baptist College,Little Rock,72202-6068,,PrivacySuppressed,PrivacySuppressed
Arkansas Beauty School-Little Rock,Little Rock,72209,,PrivacySuppressed,PrivacySuppressed
Lyon College,Batesville,72501,,0.5,0.621621622
Arkansas College of Barbering and Hair Design,North Little Rock,72114,,PrivacySuppressed,PrivacySuppressed
Arthur's Beauty College Inc-Fort Smith,Fort Smith,72901-3342,,PrivacySuppressed,PrivacySuppressed
University of Arkansas,Fayetteville,72701,,0.128091873,0.095378564
University of Arkansas at Pine Bluff,Pine Bluff,71601,,0.217672414,0.125603865
Arkansas State University-Beebe,Beebe,72012-1000,,0.232653061,0.181102362
Arkansas State University-Main Campus,Jonesboro,72401,,0.232653061,0.181102362
Arkansas Tech University,Russellville,72801-2222,,0.243353783,0.211494253
ARKANSAS VALLEY TECHNICAL INSTITUTE,OZARK,72949,,PrivacySuppressed,PrivacySuppressed
University of Arkansas at Monticello,Monticello,71656,,0.179012346,0.170634921
Arthur's Beauty College Inc-Jacksonville,Jacksonville,72076,,PrivacySuppressed,PrivacySuppressed
Baptist Health College-Little Rock,Little Rock,72210-2820,,PrivacySuppressed,PrivacySuppressed
Bee Jays Academy,Batesville,72501,,PrivacySuppressed,PrivacySuppressed
Black River Technical College,Pocahontas,72455,,PrivacySuppressed,PrivacySuppressed
University of Central Arkansas,Conway,72035-0001,,0.331736527,0.28503937
Central Baptist College,Conway,72034,,PrivacySuppressed,PrivacySuppressed
Blytheville Academy of Cosmetology,Blytheville,72315,,PrivacySuppressed,PrivacySuppressed
Cossatot Community College of the University of Arkansas,De Queen,71832,,PrivacySuppressed,PrivacySuppressed
COTTON BOLL TECHNICAL INSTITUTE,BURDETTE,72321,,PrivacySuppressed,PrivacySuppressed
Crowley's Ridge College,Paragould,72450,,PrivacySuppressed,PrivacySuppressed
Crowley's Ridge Technical Institute,Forrest City,72335-0925,,PrivacySuppressed,PrivacySuppressed
De Luxe Beauty School,Pine Bluff,71603-1666,,PrivacySuppressed,PrivacySuppressed
East Arkansas Community College,Forrest City,72335-2204,,PrivacySuppressed,PrivacySuppressed
Eastern College of Health Vocations-Little Rock,Little Rock,72205,,0.517894737,0.577777778
Imagine-Paul Mitchell Partner School,North Little Rock,72117,,PrivacySuppressed,PrivacySuppressed
ARKANSAS STATE UNIVERSITY-SEARCY,SEARCY,72143,,PrivacySuppressed,PrivacySuppressed
FOREST ECHOES TECHNICAL INSTITUTE,CROSSETT,71635,,PrivacySuppressed,PrivacySuppressed
National Park College,Hot Springs,71913,,PrivacySuppressed,PrivacySuppressed
University of Arkansas Community College-Batesville,Batesville,72503-3350,,PrivacySuppressed,PrivacySuppressed
GREAT RIVERS TECHNICAL INSTITUTE,MCGEHEE,71654-0747,,PrivacySuppressed,PrivacySuppressed
Harding University Graduate School of Religion,Memphis,38117-5499,,0.313953488,0.286764706
Harding University,Searcy,72149-5615,,0.313953488,0.286764706
Henderson State University,Arkadelphia,71999-0001,,PrivacySuppressed,PrivacySuppressed
Hendrix College,Conway,72032-3080,,0.163793103,0.151162791
Hot Springs Beauty College,Hot Springs,71901,,PrivacySuppressed,PrivacySuppressed
Jefferson Regional Medical Center School of Nursing,Pine Bluff,71603,,PrivacySuppressed,PrivacySuppressed
John Brown University,Siloam Springs,72761,,0.478723404,0.55801105
Lees School of Cosmetology,North  Little Rock,72114-3800,,PrivacySuppressed,PrivacySuppressed
Career Academy of Hair Design,Springdale,72764-7128,,PrivacySuppressed,PrivacySuppressed
Marsha Kay Beauty College,Mountain Home,72653-3164,,PrivacySuppressed,PrivacySuppressed
Academy of Salon and Spa,Fort Smith,72901,,PrivacySuppressed,PrivacySuppressed
Arkansas State University Mid-South,West Memphis,72301-3829,,PrivacySuppressed,PrivacySuppressed
Arkansas Northeastern College,Blytheville,72316-1109,,PrivacySuppressed,PrivacySuppressed
Margaret's Hair Academy Inc,Monticello,71655,,PrivacySuppressed,PrivacySuppressed
New Tyler Barber College Inc,North Little Rock,72114-4973,,PrivacySuppressed,PrivacySuppressed
North Arkansas College,Harrison,72601-5508,,0.112244898,0.087378641
Northwest Technical Institute,Springdale,72764,,PrivacySuppressed,PrivacySuppressed
Ouachita Baptist University,Arkadelphia,71998-0001,,0.36746988,0.296875
College of the Ouachitas,Malvern,72104-0816,,PrivacySuppressed,PrivacySuppressed
Ozarka College,Melbourne,72556-0010,,0.131034483,0.099009901
University of the Ozarks,Clarksville,72830,,0.26,0.359375
University of Arkansas Community College-Morrilton,Morrilton,72110,,0.101449275,0.095238095
Philander Smith College,Little Rock,72202-3799,,0.140939597,0.144067797
Phillips Community College of the University of Arkansas,Helena,72342-0785,,PrivacySuppressed,PrivacySuppressed
Southeast Arkansas College,Pine Bluff,71603,,PrivacySuppressed,PrivacySuppressed
Professional Cosmetology Education Center,El Dorado,71730-4009,,PrivacySuppressed,PrivacySuppressed
Pulaski Technical College,North Little Rock,72118-3347,,0.044233807,0.025522042
QUAPAW TECHNICAL INSTITUTE,HOT SPRINGS,71913,,PrivacySuppressed,PrivacySuppressed
University of Arkansas Community College-Hope,Hope,71801,,PrivacySuppressed,PrivacySuppressed
Rich Mountain Community College,Mena,71953,,PrivacySuppressed,PrivacySuppressed
Paul Mitchell the School-Arkansas,Fayetteville,72703,,PrivacySuppressed,PrivacySuppressed
Searcy Beauty College,Searcy,72143,,PrivacySuppressed,PrivacySuppressed
Williams Baptist College,Walnut Ridge,72476,,0.274725275,0.265822785
SOUTHERN INSTITUTE OF COSMETOLOGY,Memphis,38118,,PrivacySuppressed,PrivacySuppressed
South Arkansas Community College,El Dorado,71731-7010,,PrivacySuppressed,PrivacySuppressed
Southern Arkansas University Main Campus,Magnolia,71753,,0.255451713,0.173745174
Southern Arkansas University Tech,Camden,71701-1906,,0.161290323,0.177419355
Velvatex College of Beauty Culture,Little Rock,72202-5452,,PrivacySuppressed,PrivacySuppressed
University of Arkansas-Fort Smith,Fort Smith,72913-3649,,PrivacySuppressed,PrivacySuppressed
Abram Friedman Occupational Center,Los Angeles,90015-3507,,,
Academy of Art University,San Francisco,94105,,0.150121065,0.136276392
ITT Technical Institute-Rancho Cordova,Rancho Cordova,95670-6034,,0.484444444,0.413385827
Academy of Chinese Culture and Health Sciences,Oakland,94612,,,
Academy of Professional Careers,San Diego,92120,,0.646258503,0.663934426
The Academy of Radio and TV Broadcasting,Huntington Beach,92647,,0.647058824,0.617977528
Academy Pacific Travel College,Los Angeles,90028-5218,,0.643776824,0.729166667
Avalon School of Cosmetology-Alameda,Alameda,94501,,PrivacySuppressed,PrivacySuppressed
College of Alameda,Alameda,94501,,PrivacySuppressed,PrivacySuppressed
Allan Hancock College,Santa Maria,93454-6399,,PrivacySuppressed,PrivacySuppressed
American Academy of Dramatic Arts-Los Angeles,Los Angeles,90028,,PrivacySuppressed,PrivacySuppressed
American Baptist Seminary of the West,Berkeley,94704-3029,,,
American Film Institute Conservatory,Los Angeles,90027-1625,,PrivacySuppressed,PrivacySuppressed
American Beauty College,West Covina,91790,,PrivacySuppressed,PrivacySuppressed
American InterContinental University,Los Angeles,90066,,0.370221328,0.41723356
American Career College-Los Angeles,Los Angeles,90004,,0.625207297,0.72651357
American Conservatory Theater,San Francisco,94108-5834,,PrivacySuppressed,PrivacySuppressed
American River College,Sacramento,95841-4286,,PrivacySuppressed,PrivacySuppressed
Everest College-Hayward,Hayward,94541,,PrivacySuppressed,PrivacySuppressed
Antelope Valley College,Lancaster,93536-5426,,PrivacySuppressed,PrivacySuppressed
Art Center College of Design,Pasadena,91103,,0.666666667,0.616113744
Associated Technical College-Los Angeles,Los Angeles,90017-1604,,PrivacySuppressed,PrivacySuppressed
Associated Technical College-San Diego,San Diego,92101,,PrivacySuppressed,PrivacySuppressed
Associated Technical College,Vista,92084,,PrivacySuppressed,PrivacySuppressed
Azusa Pacific University,Azusa,91702-7000,,0.502407705,0.478908189
Bakersfield College,Bakersfield,93305-1299,,PrivacySuppressed,PrivacySuppressed
Barstow Community College,Barstow,92311,,PrivacySuppressed,PrivacySuppressed
Bellus Academy-National City,National City,91950,,PrivacySuppressed,PrivacySuppressed
Bethany University,Scotts Valley,95066-2898,,0.23,0.293478261
Bethesda University,Anaheim,92801,,PrivacySuppressed,PrivacySuppressed
Biola University,La Mirada,90639-0001,,0.379213483,0.298387097
Brooks College,Long Beach,90804,,0.338672769,0.292134832
Brooks Institute,Ventura,93001,,0.5,0.588235294
Brownson Technical School,Anaheim,92805,,PrivacySuppressed,PrivacySuppressed
Bryan University,Los Angeles,90010,,PrivacySuppressed,PrivacySuppressed
Butte College,Oroville,95965-8399,,0.066433566,0.050531915
Phillips Graduate University,Chatsworth,91311,,,
California Institute of Integral Studies,San Francisco,94103,,PrivacySuppressed,PrivacySuppressed
CALIFORNIA PARAMEDICAL AND TECHNICAL COLLEGE,RIVERSIDE,92505,,0.745614035,0.779661017
Cabrillo College,Aptos,95003,,PrivacySuppressed,PrivacySuppressed
California Baptist University,Riverside,92504-3297,,0.42042042,0.238341969
California College of the Arts,San Francisco,94107-2247,,0.452554745,0.370786517
University of California-Hastings College of Law,San Francisco,94102-4978,,PrivacySuppressed,PrivacySuppressed
California Institute of Technology,Pasadena,91125,,PrivacySuppressed,PrivacySuppressed
California Lutheran University,Thousand Oaks,91360-2787,,0.210970464,0.065326633
California Polytechnic State University-San Luis Obispo,San Luis Obispo,93407,,0.134254689,0.115942029
Alliant International University,Fresno,93727,,,
Alliant International University,Alhambra,91803-1360,,,
Alliant International University-San Diego,San Diego,92131,,0.404040404,0.371428571
Alliant International University,San Francisco,94133-1221,,,
California State University-Bakersfield,Bakersfield,93311-1099,,0.270363952,0.173295455
California State University-Stanislaus,Turlock,95382-0299,,0.046583851,0.075
California State University-San Bernardino,San Bernardino,92407-2397,,0.100231303,0.094047619
California State Polytechnic University-Pomona,Pomona,91768,,0.161776368,0.115975422
California State University-Chico,Chico,95929-0150,,0.19375,0.144371941
California State University-Dominguez Hills,Carson,90747-0005,,0.17207473,0.165467626
California State University-Fresno,Fresno,93740,,0.11760707,0.108555658
California State University-Fullerton,Fullerton,92831-3599,,0.081632653,0.0604811
California State University-East Bay,Hayward,94542,,0.066666667,0.054744526
California State University-Long Beach,Long Beach,90840-0115,,0.060591603,0.058191018
California State University-Los Angeles,Los Angeles,90032-8506,,0.184844193,0.15078534
California State University-Northridge,Northridge,91330,,0.092584467,0.070229957
California State University-Sacramento,Sacramento,95819-2694,,0.178716904,0.144496962
University of California-Berkeley,Berkeley,94720,,0.444704506,0.399867374
University of California-Davis,Davis,95616-8678,,0.080858086,0.09596662
University of California-Irvine,Irvine,92697,,0.389932886,0.334947538
University of California-Los Angeles,Los Angeles,90095-1405,,0.134255492,0.136410788
University of California-Riverside,Riverside,92521,,0.155956113,0.134040501
University of California-San Diego,La Jolla,92093,,0.087360595,0.063616071
University of California-San Francisco,San Francisco,94143-0244,,PrivacySuppressed,PrivacySuppressed
University of California-Santa Barbara,Santa Barbara,93106,,0.374683544,0.350282486
University of California-Santa Cruz,Santa Cruz,95064-1011,,0.054376658,0.055267703
Sofia University,Palo Alto,94303,,PrivacySuppressed,PrivacySuppressed
California Beauty School,Modesto,95354,,PrivacySuppressed,PrivacySuppressed
California Christian College,Fresno,93727,,PrivacySuppressed,PrivacySuppressed
California College San Diego,San Diego,92111-1009,,PrivacySuppressed,PrivacySuppressed
Le Cordon Bleu College of Culinary Arts-San Francisco,San Francisco,94103,,0.815533981,0.790055249
California Hair Design Academy,La Mesa,91941-5055,,PrivacySuppressed,PrivacySuppressed
California Institute of the Arts,Valencia,91355-2397,,0.701030928,0.762376238
California State University Maritime Academy,Vallejo,94590,,0.617647059,0.492753623
CALIFORNIA PARAMEDICAL AND TECHNICAL COLLEGE,LONG BEACH,90807-3377,,0.745614035,0.779661017
California Western School of Law,San Diego,92101-3046,,PrivacySuppressed,PrivacySuppressed
Canada College,Redwood City,94061-1099,,PrivacySuppressed,PrivacySuppressed
College of the Canyons,Santa Clarita,91355-1899,,0.063414634,0.063694268
Career Academy of Beauty,Garden Grove,92845,,PrivacySuppressed,PrivacySuppressed
Casa Loma College-Van Nuys,Van Nuys,91405,,0.70625,0.6875
CET-San Diego,San Diego,92102,,0.122689076,0.128911139
CET-Sobrato,San Jose,95110,,0.122689076,0.128911139
CET-El Centro,El Centro,92243,,0.122689076,0.128911139
CET-Colton,Colton,92324,,0.122689076,0.128911139
CET-Watsonville,Watsonville,95076,,0.122689076,0.128911139
CET-Gilroy,Gilroy,95020,,0.122689076,0.128911139
CET-Salinas,Salinas,93901,,0.122689076,0.128911139
Cerritos College,Norwalk,90650-6298,,0.03232917,0.017334778
Cerro Coso Community College,Ridgecrest,93555-9571,,PrivacySuppressed,PrivacySuppressed
Chabot College,Hayward,94545,,PrivacySuppressed,PrivacySuppressed
Chaffey College,Rancho Cucamonga,91737-3002,,PrivacySuppressed,PrivacySuppressed
Chapman University,Orange,92866,,0.279807692,0.212403101
Charles R Drew University of Medicine and Science,Los Angeles,90059,,PrivacySuppressed,PrivacySuppressed
Concordia University-Irvine,Irvine,92612-3203,,0.266666667,0.222222222
San Diego Christian College,Santee,92071,,0.452173913,0.44
Church Divinity School of the Pacific,Berkeley,94709-1211,,,
Citrus College,Glendora,91741-1899,,PrivacySuppressed,PrivacySuppressed
City College of San Francisco,San Francisco,94112-1898,,0.064516129,0.046332046
CITY UNIVERSITY-LOS ANGELES,Los Angeles,90045,,0.222222222,0.344827586
Claremont Graduate University,Claremont,91711-6160,,PrivacySuppressed,PrivacySuppressed
Claremont McKenna College,Claremont,91711-6400,,0.690476191,0.641025641
Milan Institute-Visalia,Visalia,93277,,0.616504854,0.712374582
Cleveland Chiropractic College of Los Angeles,Los Angeles,90004-2196,,PrivacySuppressed,PrivacySuppressed
Clovis Adult Education,Clovis,93611,,PrivacySuppressed,PrivacySuppressed
Coastline Community College,Fountain Valley,92708-2597,,PrivacySuppressed,PrivacySuppressed
Cogswell College,San Jose,95134,,PrivacySuppressed,PrivacySuppressed
Coleman University,San Diego,92123-1506,,0.750809062,0.784246575
Coba Cosmetology Academy,Orange,92866,,,
National Polytechnic College of Science,Wilmington,90744-6399,,0.475409836,0.708333333
Western University of Health Sciences,Pomona,91766-1854,,PrivacySuppressed,PrivacySuppressed
Columbia College,Sonora,95370,,PrivacySuppressed,PrivacySuppressed
Columbia College-Hollywood,Tarzana,91356-1411,,PrivacySuppressed,PrivacySuppressed
El Camino College-Compton Center,Compton,90221-5393,,PrivacySuppressed,PrivacySuppressed
Western Beauty Institute,Panorama City,91402,,PrivacySuppressed,PrivacySuppressed
Contra Costa College,San Pablo,94806-3195,,PrivacySuppressed,PrivacySuppressed
Cosumnes River College,Sacramento,95823-5799,,PrivacySuppressed,PrivacySuppressed
Crafton Hills College,Yucaipa,92339-1799,,PrivacySuppressed,PrivacySuppressed
Cuesta College,San Luis Obispo,93403-8106,,PrivacySuppressed,PrivacySuppressed
Cuyamaca College,El Cajon,92019,,PrivacySuppressed,PrivacySuppressed
Marinello Schools of Beauty-Bell,Bell,90201,,0.574074074,0.610526316
Cypress College,Cypress,90630-5897,,PrivacySuppressed,PrivacySuppressed
D-Q UNIVERSITY,DAVIS,95617-040,,PrivacySuppressed,PrivacySuppressed
De Anza College,Cupertino,95014,,PrivacySuppressed,PrivacySuppressed
Marinello Schools of Beauty-Hemet,Hemet,92545,,,
DEEP SPRINGS COLLEGE,DYER,89010-9803,,,
Dell'Arte International School of Physical Theatre,Blue Lake,95525-0816,,PrivacySuppressed,PrivacySuppressed
