,INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
155,Central Baptist College,Conway,72034,,0.3,0.273684211
156,Cossatot Community College of the University of Arkansas,De Queen,71832,,PrivacySuppressed,PrivacySuppressed
157,Crowley's Ridge College,Paragould,72450,,PrivacySuppressed,PrivacySuppressed
158,Crowley's Ridge Technical Institute,Forrest City,72335-0925,,PrivacySuppressed,PrivacySuppressed
159,East Arkansas Community College,Forrest City,72335-2204,,0.123674912,0.093457944
160,Eastern College of Health Vocations-Little Rock,Little Rock,72205,,PrivacySuppressed,PrivacySuppressed
161,Imagine-Paul Mitchell Partner School,North Little Rock,72117,,PrivacySuppressed,PrivacySuppressed
162,National Park College,Hot Springs,71913,,0.160784314,0.171821306
163,University of Arkansas Community College-Batesville,Batesville,72503-3350,,0.325513197,0.18452381
164,Harding University,Searcy,72149-5615,,0.528571429,0.409586057
165,Henderson State University,Arkadelphia,71999-0001,,0.107212476,0.076566125
166,Hendrix College,Conway,72032-3080,,0.454545455,0.421052632
167,Hot Springs Beauty College,Hot Springs,71901,,PrivacySuppressed,PrivacySuppressed
168,Jefferson Regional Medical Center School of Nursing,Pine Bluff,71603,,PrivacySuppressed,PrivacySuppressed
169,John Brown University,Siloam Springs,72761,,0.601503759,0.543147208
170,Lees School of Cosmetology,North  Little Rock,72114-3800,,PrivacySuppressed,PrivacySuppressed
171,Career Academy of Hair Design,Springdale,72764-7128,,PrivacySuppressed,PrivacySuppressed
172,Marsha Kay Beauty College,Mountain Home,72653-3164,,PrivacySuppressed,PrivacySuppressed
173,Academy of Salon and Spa,Fort Smith,72901,,PrivacySuppressed,PrivacySuppressed
174,Arkansas State University Mid-South,West Memphis,72301-3829,,PrivacySuppressed,PrivacySuppressed
175,Arkansas Northeastern College,Blytheville,72316-1109,,0.168571429,0.207407407
176,Margaret's Hair Academy Inc,Monticello,71655,,PrivacySuppressed,PrivacySuppressed
177,New Tyler Barber College Inc,North Little Rock,72114-4973,,PrivacySuppressed,PrivacySuppressed
178,North Arkansas College,Harrison,72601-5508,,0.304020101,0.3125
179,Northwest Technical Institute,Springdale,72764,,PrivacySuppressed,PrivacySuppressed
180,Ouachita Baptist University,Arkadelphia,71998-0001,,0.561728395,0.45890411
181,College of the Ouachitas,Malvern,72104-0816,,0.324200913,0.269230769
182,Ozarka College,Melbourne,72556-0010,,PrivacySuppressed,PrivacySuppressed
183,University of the Ozarks,Clarksville,72830,,0.367088608,0.339285714
184,University of Arkansas Community College-Morrilton,Morrilton,72110,,0.224586288,0.285714286
185,Philander Smith College,Little Rock,72202-3799,,0.41025641,0.348837209
186,Phillips Community College of the University of Arkansas,Helena,72342-0785,,PrivacySuppressed,PrivacySuppressed
187,Southeast Arkansas College,Pine Bluff,71603,,PrivacySuppressed,PrivacySuppressed
188,Professional Cosmetology Education Center,El Dorado,71730-4009,,PrivacySuppressed,PrivacySuppressed
189,Pulaski Technical College,North Little Rock,72118-3347,,0.155459925,0.161490683
190,University of Arkansas Community College-Hope,Hope,71801,,0.12987013,0.088495575
191,Rich Mountain Community College,Mena,71953,,PrivacySuppressed,PrivacySuppressed
192,Paul Mitchell the School-Arkansas,Fayetteville,72703,,PrivacySuppressed,PrivacySuppressed
193,Searcy Beauty College,Searcy,72143,,PrivacySuppressed,PrivacySuppressed
194,Williams Baptist College,Walnut Ridge,72476,,0.273809524,0.371794872
195,South Arkansas Community College,El Dorado,71731-7010,,PrivacySuppressed,PrivacySuppressed
196,Southern Arkansas University Main Campus,Magnolia,71753,,0.320843091,0.235741445
197,Southern Arkansas University Tech,Camden,71701-1906,,0.189349112,0.315217391
198,Velvatex College of Beauty Culture,Little Rock,72202-5452,,PrivacySuppressed,PrivacySuppressed
199,University of Arkansas-Fort Smith,Fort Smith,72913-3649,,0.263932702,0.208012327
200,Academy of Art University,San Francisco,94105,,0.113998819,0.104100946
201,ITT Technical Institute-Rancho Cordova,Rancho Cordova,95670-6034,,0.27284264,0.385719683
202,Academy of Chinese Culture and Health Sciences,Oakland,94612,,,
203,The Academy of Radio and TV Broadcasting,Huntington Beach,92647,,0.64516129,0.785714286
204,Avalon School of Cosmetology-Alameda,Alameda,94501,,PrivacySuppressed,PrivacySuppressed
205,College of Alameda,Alameda,94501,,PrivacySuppressed,PrivacySuppressed
206,Allan Hancock College,Santa Maria,93454-6399,,PrivacySuppressed,PrivacySuppressed
207,American Academy of Dramatic Arts-Los Angeles,Los Angeles,90028,,0.611111111,0.628571429
208,American Baptist Seminary of the West,Berkeley,94704-3029,,PrivacySuppressed,PrivacySuppressed
209,American Film Institute Conservatory,Los Angeles,90027-1625,,PrivacySuppressed,PrivacySuppressed
210,American Beauty College,West Covina,91790,,PrivacySuppressed,PrivacySuppressed
211,American Career College-Los Angeles,Los Angeles,90004,,0.695474777,0.682957394
212,American Conservatory Theater,San Francisco,94108-5834,,PrivacySuppressed,PrivacySuppressed
213,American River College,Sacramento,95841-4286,,0.056519984,0.05691595
214,Everest College-Hayward,Hayward,94541,,0.575510204,0.47761194
215,Antelope Valley College,Lancaster,93536-5426,,0.094894895,0.065913371
216,Art Center College of Design,Pasadena,91103,,0.423611111,0.408839779
217,Associated Technical College-Los Angeles,Los Angeles,90017-1604,,0.322404372,0.307377049
218,Associated Technical College-San Diego,San Diego,92101,,PrivacySuppressed,PrivacySuppressed
219,Azusa Pacific University,Azusa,91702-7000,,0.224534502,0.166666667
220,Bakersfield College,Bakersfield,93305-1299,,PrivacySuppressed,PrivacySuppressed
221,Bridges Academy of Beauty,Barstow,92311,,PrivacySuppressed,PrivacySuppressed
222,Barstow Community College,Barstow,92311,,PrivacySuppressed,PrivacySuppressed
223,Bellus Academy-National City,National City,91950,,PrivacySuppressed,PrivacySuppressed
224,Bethesda University,Anaheim,92801,,PrivacySuppressed,PrivacySuppressed
225,Biola University,La Mirada,90639-0001,,0.588138386,0.477040816
226,Brooks Institute,Ventura,93001,,0.316666667,0.368159204
227,Brownson Technical School,Anaheim,92805,,PrivacySuppressed,PrivacySuppressed
228,Bryan University,Los Angeles,90010,,PrivacySuppressed,PrivacySuppressed
229,Butte College,Oroville,95965-8399,,0.066559743,0.063147974
230,Phillips Graduate University,Chatsworth,91311,,PrivacySuppressed,PrivacySuppressed
231,California Institute of Integral Studies,San Francisco,94103,,PrivacySuppressed,PrivacySuppressed
232,Cabrillo College,Aptos,95003,,0.039119804,0.023847377
233,California Baptist University,Riverside,92504-3297,,0.385714286,0.308510638
234,California College of the Arts,San Francisco,94107-2247,,0.516129032,0.434782609
235,University of California-Hastings College of Law,San Francisco,94102-4978,,PrivacySuppressed,PrivacySuppressed
236,California Institute of Technology,Pasadena,91125,,0.564102564,0.47826087
237,California Lutheran University,Thousand Oaks,91360-2787,,0.563517915,0.425
238,California Polytechnic State University-San Luis Obispo,San Luis Obispo,93407,,0.57757167,0.521045918
239,Alliant International University-San Diego,San Diego,92131,,0.89958159,0.853658537
240,California State University-Bakersfield,Bakersfield,93311-1099,,0.380872483,0.328205128
241,California State University-Stanislaus,Turlock,95382-0299,,0.10472973,0.094370861
242,California State University-San Bernardino,San Bernardino,92407-2397,,0.408780904,0.42016129
243,California State Polytechnic University-Pomona,Pomona,91768,,0.245409015,0.188219052
244,California State University-Chico,Chico,95929-0150,,0.464864865,0.432835821
245,California State University-Dominguez Hills,Carson,90747-0005,,0.276190476,0.262971698
246,California State University-Fresno,Fresno,93740,,0.36935341,0.351728723
247,California State University-Fullerton,Fullerton,92831-3599,,0.429947702,0.378690629
248,California State University-East Bay,Hayward,94542,,0.338155515,0.280434783
249,California State University-Long Beach,Long Beach,90840-0115,,0.449717514,0.428505535
250,California State University-Los Angeles,Los Angeles,90032-8506,,0.21906226,0.184124919
251,California State University-Northridge,Northridge,91330,,0.398157895,0.351590818
252,California State University-Sacramento,Sacramento,95819-2694,,0.178060413,0.146387833
253,University of California-Berkeley,Berkeley,94720,,0.551695954,0.506908052
254,University of California-Davis,Davis,95616-8678,,0.569962687,0.518839324
255,University of California-Irvine,Irvine,92697,,0.687345933,0.621720881
256,University of California-Los Angeles,Los Angeles,90095-1405,,0.73857868,0.701787394
257,University of California-Riverside,Riverside,92521,,0.255555556,0.233914612
258,University of California-San Diego,La Jolla,92093,,0.658249891,0.601256646
259,University of California-San Francisco,San Francisco,94143-0244,,PrivacySuppressed,PrivacySuppressed
260,University of California-Santa Barbara,Santa Barbara,93106,,0.634912718,0.566137566
261,University of California-Santa Cruz,Santa Cruz,95064-1011,,0.613178768,0.576425856
262,Sofia University,Palo Alto,94303,,,
263,California Beauty School,Modesto,95354,,PrivacySuppressed,PrivacySuppressed
264,California Christian College,Fresno,93727,,PrivacySuppressed,PrivacySuppressed
265,California College San Diego,San Diego,92111-1009,,0.386046512,0.432432432
266,Le Cordon Bleu College of Culinary Arts-San Francisco,San Francisco,94103,,0.738461539,0.643356643
267,California Hair Design Academy,La Mesa,91941-5055,,PrivacySuppressed,PrivacySuppressed
268,California Institute of the Arts,Valencia,91355-2397,,0.741071429,0.785714286
269,California State University Maritime Academy,Vallejo,94590,,0.514285714,0.579710145
270,California Western School of Law,San Diego,92101-3046,,PrivacySuppressed,PrivacySuppressed
271,Canada College,Redwood City,94061-1099,,PrivacySuppressed,PrivacySuppressed
272,College of the Canyons,Santa Clarita,91355-1899,,0.113207547,0.081280788
273,Career Academy of Beauty,Garden Grove,92845,,PrivacySuppressed,PrivacySuppressed
274,Casa Loma College-Van Nuys,Van Nuys,91405,,0.816666667,0.816513762
275,CET-San Diego,San Diego,92102,,0.639344262,0.631051753
276,CET-Sobrato,San Jose,95110,,0.639344262,0.631051753
277,CET-El Centro,El Centro,92243,,0.639344262,0.631051753
278,CET-Colton,Colton,92324,,0.639344262,0.631051753
279,CET-Watsonville,Watsonville,95076,,0.639344262,0.631051753
280,CET-Gilroy,Gilroy,95020,,0.639344262,0.631051753
281,CET-Salinas,Salinas,93901,,0.639344262,0.631051753
282,Cerritos College,Norwalk,90650-6298,,0.034364261,0.023193577
283,Cerro Coso Community College,Ridgecrest,93555-9571,,PrivacySuppressed,PrivacySuppressed
284,Chabot College,Hayward,94545,,0.07790927,0.040421793
285,Chaffey College,Rancho Cucamonga,91737-3002,,PrivacySuppressed,PrivacySuppressed
286,Chapman University,Orange,92866,,0.45459837,0.445040215
287,Charles R Drew University of Medicine and Science,Los Angeles,90059,,PrivacySuppressed,PrivacySuppressed
288,Concordia University-Irvine,Irvine,92612-3203,,0.509259259,0.408163265
289,San Diego Christian College,Santee,92071,,0.466666667,0.369863014
290,Church Divinity School of the Pacific,Berkeley,94709-1211,,,
291,Citrus College,Glendora,91741-1899,,0.079030559,0.086892489
292,City College of San Francisco,San Francisco,94112-1898,,0.085600907,0.059293804
293,Claremont Graduate University,Claremont,91711-6160,,PrivacySuppressed,PrivacySuppressed
294,Claremont McKenna College,Claremont,91711-6400,,0.787234043,0.682539683
295,Milan Institute-Visalia,Visalia,93277,,0.779960707,0.716049383
296,Clovis Adult Education,Clovis,93611,,PrivacySuppressed,PrivacySuppressed
297,Coastline Community College,Fountain Valley,92708-2597,,0.108208955,0.093023256
298,Cogswell College,San Jose,95134,,PrivacySuppressed,PrivacySuppressed
299,Coleman University,San Diego,92123-1506,,0.674418605,0.674876847
300,Coba Cosmetology Academy,Orange,92866,,PrivacySuppressed,PrivacySuppressed
301,Western University of Health Sciences,Pomona,91766-1854,,PrivacySuppressed,PrivacySuppressed
302,Columbia College,Sonora,95370,,0.102803738,0.078014184
303,Columbia College-Hollywood,Tarzana,91356-1411,,0.5,0.513513514
304,El Camino College-Compton Center,Compton,90221-5393,,0.06381798,0.044297832
305,Western Beauty Institute,Panorama City,91402,,PrivacySuppressed,PrivacySuppressed
306,Contra Costa College,San Pablo,94806-3195,,PrivacySuppressed,PrivacySuppressed
307,Cosumnes River College,Sacramento,95823-5799,,0.047044632,0.05380334
308,Crafton Hills College,Yucaipa,92339-1799,,PrivacySuppressed,PrivacySuppressed
309,Cuesta College,San Luis Obispo,93403-8106,,PrivacySuppressed,PrivacySuppressed
310,Cuyamaca College,El Cajon,92019,,PrivacySuppressed,PrivacySuppressed
311,Marinello Schools of Beauty-Bell,Bell,90201,,PrivacySuppressed,PrivacySuppressed
312,Cypress College,Cypress,90630-5897,,0.096623981,0.072026801
313,De Anza College,Cupertino,95014,,PrivacySuppressed,PrivacySuppressed
314,Marinello Schools of Beauty-Hemet,Hemet,92545,,PrivacySuppressed,PrivacySuppressed
315,International School of Beauty Inc,Palm Desert,92260-2740,,PrivacySuppressed,PrivacySuppressed
316,Dell'Arte International School of Physical Theatre,Blue Lake,95525-0816,,PrivacySuppressed,PrivacySuppressed
317,College of the Desert,Palm Desert,92260,,PrivacySuppressed,PrivacySuppressed
318,Design Institute of San Diego,San Diego,92121,,PrivacySuppressed,PrivacySuppressed
319,DeVry University-California,Pomona,91768-2642,,0.142187224,0.112682198
320,Diablo Valley College,Pleasant Hill,94523,,PrivacySuppressed,PrivacySuppressed
321,Dominican University of California,San Rafael,94901-2298,,0.510067114,0.463917526
322,Dominican School of Philosophy & Theology,Berkeley,94708-1816,,,
323,East Los Angeles College,Monterey Park,91754-6099,,0.108666667,0.103783784
324,Marinello Schools of Beauty-Santa Clara,Santa Clara,95050,,PrivacySuppressed,PrivacySuppressed
325,San Diego Continuing Education,San Diego,92113,,PrivacySuppressed,PrivacySuppressed
326,El Camino Community College District,Torrance,90506,,0.06381798,0.044297832
327,Elegance International,Hollywood,90028-6106,,PrivacySuppressed,PrivacySuppressed
328,Marinello Schools of Beauty-City of Industry,City of Industry,91748,,PrivacySuppressed,PrivacySuppressed
329,Marinello Schools of Beauty-Burbank,Burbank,91502,,PrivacySuppressed,PrivacySuppressed
330,Marinello Schools of Beauty-Moreno Valley,Moreno Valley,92553,,PrivacySuppressed,PrivacySuppressed
331,Emperor's College of Traditional Oriental Medicine,Santa Monica,90403,,,
332,Empire College,Santa Rosa,95403-2126,,0.612565445,0.551724138
333,Evergreen Valley College,San Jose,95135-1598,,0.027419355,0.02004008
334,FIDM-Fashion Institute of Design & Merchandising-Los Angeles,Los Angeles,90015-1421,,0.617344439,0.506024096
335,Fashion Careers College,San Diego,921103555,,PrivacySuppressed,PrivacySuppressed
336,FIDM-Fashion Institute of Design & Merchandising-San Francisco,San Francisco,94108-5805,,0.617344439,0.506024096
337,FIDM-Fashion Institute of Design & Merchandising-Orange County,Irvine,92614-5610,,0.617344439,0.506024096
338,Feather River Community College District,Quincy,95971-9124,,0.151079137,0.174603175
339,Federico Beauty Institute,Sacramento,95834,,PrivacySuppressed,PrivacySuppressed
340,Fielding Graduate University,Santa Barbara,93105-3538,,PrivacySuppressed,PrivacySuppressed
341,Five Branches University,Santa Cruz,95062,,PrivacySuppressed,PrivacySuppressed
342,Hair California Beauty Academy,Orange,92867,,PrivacySuppressed,PrivacySuppressed
343,Foothill College,Los Altos Hills,94022,,0.105610561,0.066433566
344,Franciscan School of Theology,Oceanside,92057,,,
345,Fredrick and Charles Beauty College,Eureka,95501,,PrivacySuppressed,PrivacySuppressed
346,Fresno City College,Fresno,93741,,0.098966614,0.067845198
347,Fresno Pacific University,Fresno,93702-4709,,0.476614699,0.390625
348,Fuller Theological Seminary in California,Pasadena,91182,,PrivacySuppressed,PrivacySuppressed
349,Fullerton College,Fullerton,92832-2095,,PrivacySuppressed,PrivacySuppressed
350,Galen College of Medical and Dental Assistants,Clovis,93611-4002,,PrivacySuppressed,PrivacySuppressed
351,Gavilan College,Gilroy,95020,,0.105128205,0.084269663
352,Gemological Institute of America-Carlsbad,Carlsbad,92008,,PrivacySuppressed,PrivacySuppressed
353,Glendale Community College,Glendale,91208-2894,,0.025604552,0.025531915
