,INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
48,Northeast Alabama Community College,Rainsville,35986,,PrivacySuppressed,PrivacySuppressed
49,Oakwood University,Huntsville,35896,,0.239631336,0.237113402
50,Alabama Southern Community College,Monroeville,36460,,PrivacySuppressed,PrivacySuppressed
51,Prince Institute-Southeast,Elmhurst,60126,,PrivacySuppressed,PrivacySuppressed
52,Reid State Technical College,Evergreen,36401,,PrivacySuppressed,PrivacySuppressed
53,Bishop State Community College,Mobile,36603-5898,,0.041479821,0.026066351
54,Samford University,Birmingham,35229-2240,,0.607508532,0.575581395
55,Shelton State Community College,Tuscaloosa,35405-8522,,PrivacySuppressed,PrivacySuppressed
56,Snead State Community College,Boaz,35957-0734,,PrivacySuppressed,PrivacySuppressed
57,University of South Alabama,Mobile,36688-0002,,0.305579399,0.226928896
58,Southern Community College,Tuskegee,36083-0688,,PrivacySuppressed,PrivacySuppressed
59,Spring Hill College,Mobile,36608-1791,,0.412935323,0.404255319
60,Southeastern Bible College,Birmingham,35244-2083,,PrivacySuppressed,PrivacySuppressed
61,Stillman College,Tuscaloosa,35401,,0.219858156,0.078282828
62,Talladega College,Talladega,35160,,PrivacySuppressed,PrivacySuppressed
63,H Councill Trenholm State Community College,Montgomery,36108-3199,,PrivacySuppressed,PrivacySuppressed
64,Troy State University-Dothan Campus,Dothan,36304,,0.102040816,0.08
65,TROY STATE UNIVERSITY-PHENIX CITY,PHENIX CITY,36869,,0.127252252,0.105360444
66,Troy State University-Montgomery,Montgomery,36103-4419,,0.125894135,0.113924051
67,Troy University,Troy,36082-0001,,0.127252252,0.105360444
68,Tuskegee University,Tuskegee,36088-1920,,0.204204204,0.08881579
69,United States Sports Academy,Daphne,36526-7055,,PrivacySuppressed,PrivacySuppressed
70,Bevill State Community College,Jasper,35501,,PrivacySuppressed,PrivacySuppressed
71,University of Alaska Anchorage,Anchorage,99508,,0.086901763,0.066820277
72,University of Alaska Fairbanks,Fairbanks,99775-7500,,0.153684211,0.142857143
73,University of Alaska Southeast,Juneau,99801-8697,,PrivacySuppressed,PrivacySuppressed
74,Alaska Pacific University,Anchorage,99508,,PrivacySuppressed,PrivacySuppressed
75,AVTEC-Alaska's Institute of Technology,Seward,99664-0889,,PrivacySuppressed,PrivacySuppressed
76,Charter College,Vancouver,98683-7575,,0.260504202,0.30952381
77,Prince William Sound Community College,Valdez,99686-0097,,0.086901763,0.066820277
78,Sheldon Jackson College,Sitka,99835-7699,,PrivacySuppressed,PrivacySuppressed
79,Alaska Career College,Anchorage,99507-1033,,0.628865979,0.531914894
80,Everest College-Phoenix,Phoenix,85021-1641,,0.411764706,0.484375
81,Collins College,Phoenix,85040,,0.590163934,0.62052506
82,Empire Beauty School-Paradise Valley,Phoenix,85032,,PrivacySuppressed,PrivacySuppressed
83,Empire Beauty School-Tucson,Tucson,85716,,PrivacySuppressed,PrivacySuppressed
84,Thunderbird School of Global Management,Glendale,85306-6000,,PrivacySuppressed,PrivacySuppressed
85,American Indian College Inc,Phoenix,85021,,PrivacySuppressed,PrivacySuppressed
86,American Institute of Trucking,Phoenix,85043-4729,,0.825842697,0.803797468
87,Carrington College-Phoenix North,Phoenix,85051-4063,,0.570458404,0.664160401
88,Carrington College-Mesa,Mesa,85210,,0.570458404,0.664160401
89,Carrington College-Tucson,Tucson,85745,,0.570458404,0.664160401
90,CollegeAmerica-Flagstaff,Flagstaff,86001,,PrivacySuppressed,PrivacySuppressed
91,Arizona Academy of Beauty-East,Tucson,85712,,PrivacySuppressed,PrivacySuppressed
92,Arizona Automotive Institute,Glendale,85301-3579,,PrivacySuppressed,PrivacySuppressed
93,Brookline College-Phoenix,Phoenix,85021,,0.425981873,0.46122449
94,Arizona State University-Tempe,Tempe,85287,,0.239738562,0.235761132
95,Arizona Western College,Yuma,85365-8834,,0.026809652,0.029082774
96,University of Arizona,Tucson,85721-0066,,0.281891169,0.233529727
97,Southwest University of Visual Arts-Tucson,Tucson,85716,,0.267716535,0.333333333
98,Brillare Hairdressing Academy,Scottsdale,85254,,PrivacySuppressed,PrivacySuppressed
99,Central Arizona College,Coolidge,85128-9030,,0.077922078,0.09223301
100,Brown Mackie College-Tucson,Tucson,85712,,0.303167421,0.347457627
101,Charles of Italy Beauty College,Lake Havasu City,86403,,PrivacySuppressed,PrivacySuppressed
102,Cochise County Community College District,Douglas,85607-6190,,0.087030717,0.081151833
103,Empire Beauty School-Flagstaff,Flagstaff,86004,,PrivacySuppressed,PrivacySuppressed
104,Empire Beauty School-Chandler,Chandler,85224,,PrivacySuppressed,PrivacySuppressed
105,Cortiva Institute-Tucson,Tucson,85710,,PrivacySuppressed,PrivacySuppressed
106,DeVoe College of Beauty,Sierra Vista,85635-1832,,PrivacySuppressed,PrivacySuppressed
107,DeVry University-Arizona,Phoenix,85021-2995,,0.166062802,0.176231803
108,Avalon School of Cosmetology-Mesa,Mesa,85210,,PrivacySuppressed,PrivacySuppressed
109,Eastern Arizona College,Thatcher,85552-0769,,PrivacySuppressed,PrivacySuppressed
110,Embry-Riddle Aeronautical University-Prescott,Prescott,86301-3720,,0.091954023,0.068757539
111,Glendale Community College,Glendale,85302,,0.018456376,0.024637681
112,Grand Canyon University,Phoenix,85017,,0.203448276,0.142857143
113,Anthem College-Phoenix,Phoenix,85014,,0.574568289,0.591137124
114,International Academy of Hair Design,Tempe,85282-6730,,PrivacySuppressed,PrivacySuppressed
115,Lamson College,Tempe,85284,,0.487179487,0.432432432
116,Kaplan College-Phoenix,Phoenix,85029,,0.638297872,0.526666667
117,Maricopa Beauty College LLC,Avondale,85323,,PrivacySuppressed,PrivacySuppressed
118,GateWay Community College,Phoenix,85034,,0.055238095,0.032345014
119,Mesa Community College,Mesa,85202,,0.016382253,0.017674419
120,ITT Technical Institute-Tucson,Tucson,85704-5829,,0.243523316,0.376436782
121,ITT Technical Institute-Tempe,Tempe,85282,,0.353535354,0.397515528
122,Mohave Community College,Kingman,86409-1238,,PrivacySuppressed,PrivacySuppressed
123,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,85027,,0.732848233,0.697068404
124,Mundus Institute,Phoenix,85015,,PrivacySuppressed,PrivacySuppressed
125,Dine College,Tsaile,86556,,PrivacySuppressed,PrivacySuppressed
126,Northern Arizona University,Flagstaff,86011-4092,,0.260212647,0.231799163
127,Northland Pioneer College,Holbrook,86025-0610,,PrivacySuppressed,PrivacySuppressed
128,Ottawa University-Phoenix,Phoenix,85021,,0.33192389,0.205047319
129,Empire Beauty School-Glendale,Glendale,85304,,PrivacySuppressed,PrivacySuppressed
130,Phoenix College,Phoenix,85013,,PrivacySuppressed,PrivacySuppressed
131,Cortiva Institute-Scottsdale,Scottsdale,85257,,0.763157895,0.756097561
132,University of Phoenix-Phoenix Campus,Tempe,85282-2371,,0.174104463,0.171655674
133,Pima Community College,Tucson,85709-1275,,0.06787998,0.038709677
134,Pima Medical Institute-Tucson,Tucson,85716,,0.6,0.594047619
135,Pima Medical Institute-Albuquerque,Albuquerque,87110,,0.6,0.594047619
136,Prescott College,Prescott,86301,,0.339393939,0.279069767
137,Refrigeration School Inc,Phoenix,85034-1816,,0.759615385,0.65625
138,Rio Salado College,Tempe,85281,,PrivacySuppressed,PrivacySuppressed
139,Roberto-Venn School of Luthiery,Phoenix,85007,,PrivacySuppressed,PrivacySuppressed
140,Hair Academy of Safford,Safford,85546,,PrivacySuppressed,PrivacySuppressed
141,Scottsdale Community College,Scottsdale,85256,,0.022132797,0.024096386
142,South Mountain Community College,Phoenix,85042,,PrivacySuppressed,PrivacySuppressed
143,Long Technical College-East Valley,Phoenix,85008-1716,,PrivacySuppressed,PrivacySuppressed
144,Arizona Christian University,Phoenix,85032-7097,,0.5,0.483870968
145,Tucson College,Tucson,85711,,0.589285714,0.514851485
146,Universal Technical Institute of Arizona Inc,Avondale,85323,,0.646464647,0.718807621
147,Metropolitan College,Phoenix,85008-6940,,PrivacySuppressed,PrivacySuppressed
148,Western International University,Tempe,85282,,0.104294479,0.12037037
149,Empire Beauty School-NW Phoenix,Phoenix,85051,,0.623376623,0.5
150,Yavapai College,Prescott,86301,,PrivacySuppressed,PrivacySuppressed
151,University of Arkansas at Little Rock,Little Rock,72204,,0.071118821,0.035031847
152,University of Arkansas for Medical Sciences,Little Rock,72205-7199,,0.775119617,0.714285714
153,ABC Beauty College Inc,Arkadelphia,71923,,PrivacySuppressed,PrivacySuppressed
154,Arkansas Baptist College,Little Rock,72202-6068,,PrivacySuppressed,PrivacySuppressed
155,Arkansas Beauty School-Little Rock,Little Rock,72209,,PrivacySuppressed,PrivacySuppressed
156,Lyon College,Batesville,72501,,0.486842105,0.604166667
157,Arkansas College of Barbering and Hair Design,North Little Rock,72114,,PrivacySuppressed,PrivacySuppressed
158,Arthur's Beauty College Inc-Fort Smith,Fort Smith,72901-3342,,PrivacySuppressed,PrivacySuppressed
159,University of Arkansas,Fayetteville,72701,,0.103480715,0.071713147
160,University of Arkansas at Pine Bluff,Pine Bluff,71601,,0.253829322,0.115789474
161,Arkansas State University-Beebe,Beebe,72012-1000,,0.231351981,0.173010381
162,Arkansas State University-Main Campus,Jonesboro,72401,,0.231351981,0.173010381
163,Arkansas Tech University,Russellville,72801-2222,,0.245762712,0.247011952
164,University of Arkansas at Monticello,Monticello,71656,,0.172910663,0.163194444
165,Arthur's Beauty College Inc-Jacksonville,Jacksonville,72076,,PrivacySuppressed,PrivacySuppressed
166,Baptist Health College-Little Rock,Little Rock,72210-2820,,PrivacySuppressed,PrivacySuppressed
167,Bee Jays Academy,Batesville,72501,,PrivacySuppressed,PrivacySuppressed
168,Black River Technical College,Pocahontas,72455,,PrivacySuppressed,PrivacySuppressed
169,University of Central Arkansas,Conway,72035-0001,,0.344162437,0.262903226
170,Central Baptist College,Conway,72034,,PrivacySuppressed,PrivacySuppressed
171,Blytheville Academy of Cosmetology,Blytheville,72315,,PrivacySuppressed,PrivacySuppressed
172,Cossatot Community College of the University of Arkansas,De Queen,71832,,PrivacySuppressed,PrivacySuppressed
173,Crowley's Ridge College,Paragould,72450,,PrivacySuppressed,PrivacySuppressed
174,Crowley's Ridge Technical Institute,Forrest City,72335-0925,,PrivacySuppressed,PrivacySuppressed
175,De Luxe Beauty School,Pine Bluff,71603-1666,,PrivacySuppressed,PrivacySuppressed
176,East Arkansas Community College,Forrest City,72335-2204,,PrivacySuppressed,PrivacySuppressed
177,Eastern College of Health Vocations-Little Rock,Little Rock,72205,,0.556034483,0.616666667
178,Imagine-Paul Mitchell Partner School,North Little Rock,72117,,PrivacySuppressed,PrivacySuppressed
179,ARKANSAS STATE UNIVERSITY-SEARCY,SEARCY,72143,,PrivacySuppressed,PrivacySuppressed
180,National Park College,Hot Springs,71913,,PrivacySuppressed,PrivacySuppressed
181,University of Arkansas Community College-Batesville,Batesville,72503-3350,,PrivacySuppressed,PrivacySuppressed
182,Harding University Graduate School of Religion,Memphis,38117-5499,,0.304932735,0.281323877
183,Harding University,Searcy,72149-5615,,0.304932735,0.281323877
184,Henderson State University,Arkadelphia,71999-0001,,0.05707196,0.04601227
185,Hendrix College,Conway,72032-3080,,0.454545455,0.32
186,Hot Springs Beauty College,Hot Springs,71901,,PrivacySuppressed,PrivacySuppressed
187,Jefferson Regional Medical Center School of Nursing,Pine Bluff,71603,,PrivacySuppressed,PrivacySuppressed
188,John Brown University,Siloam Springs,72761,,0.463054187,0.447058824
189,Lees School of Cosmetology,North  Little Rock,72114-3800,,PrivacySuppressed,PrivacySuppressed
190,Career Academy of Hair Design,Springdale,72764-7128,,PrivacySuppressed,PrivacySuppressed
191,Marsha Kay Beauty College,Mountain Home,72653-3164,,PrivacySuppressed,PrivacySuppressed
192,Academy of Salon and Spa,Fort Smith,72901,,PrivacySuppressed,PrivacySuppressed
193,Arkansas State University Mid-South,West Memphis,72301-3829,,PrivacySuppressed,PrivacySuppressed
194,Arkansas Northeastern College,Blytheville,72316-1109,,PrivacySuppressed,PrivacySuppressed
195,Margaret's Hair Academy Inc,Monticello,71655,,PrivacySuppressed,PrivacySuppressed
196,New Tyler Barber College Inc,North Little Rock,72114-4973,,PrivacySuppressed,PrivacySuppressed
197,North Arkansas College,Harrison,72601-5508,,0.149006623,0.097297297
198,Northwest Technical Institute,Springdale,72764,,PrivacySuppressed,PrivacySuppressed
199,Ouachita Baptist University,Arkadelphia,71998-0001,,0.380681818,0.346405229
200,College of the Ouachitas,Malvern,72104-0816,,PrivacySuppressed,PrivacySuppressed
201,Ozarka College,Melbourne,72556-0010,,PrivacySuppressed,PrivacySuppressed
202,University of the Ozarks,Clarksville,72830,,0.313432836,0.285714286
203,University of Arkansas Community College-Morrilton,Morrilton,72110,,PrivacySuppressed,PrivacySuppressed
204,Philander Smith College,Little Rock,72202-3799,,0.208092486,0.114754098
205,Phillips Community College of the University of Arkansas,Helena,72342-0785,,PrivacySuppressed,PrivacySuppressed
206,Southeast Arkansas College,Pine Bluff,71603,,PrivacySuppressed,PrivacySuppressed
207,Professional Cosmetology Education Center,El Dorado,71730-4009,,PrivacySuppressed,PrivacySuppressed
208,Pulaski Technical College,North Little Rock,72118-3347,,0.064661654,0.041208791
209,University of Arkansas Community College-Hope,Hope,71801,,PrivacySuppressed,PrivacySuppressed
210,Rich Mountain Community College,Mena,71953,,PrivacySuppressed,PrivacySuppressed
211,Paul Mitchell the School-Arkansas,Fayetteville,72703,,PrivacySuppressed,PrivacySuppressed
212,Searcy Beauty College,Searcy,72143,,PrivacySuppressed,PrivacySuppressed
213,Williams Baptist College,Walnut Ridge,72476,,0.353982301,0.25
214,SOUTHERN INSTITUTE OF COSMETOLOGY,Memphis,38118,,PrivacySuppressed,PrivacySuppressed
215,South Arkansas Community College,El Dorado,71731-7010,,PrivacySuppressed,PrivacySuppressed
216,Southern Arkansas University Main Campus,Magnolia,71753,,0.314516129,0.175572519
217,Southern Arkansas University Tech,Camden,71701-1906,,PrivacySuppressed,PrivacySuppressed
218,Velvatex College of Beauty Culture,Little Rock,72202-5452,,PrivacySuppressed,PrivacySuppressed
219,University of Arkansas-Fort Smith,Fort Smith,72913-3649,,0.058935361,0.046332046
220,Abram Friedman Occupational Center,Los Angeles,90015-3507,,,
221,Academy of Art University,San Francisco,94105,,0.205882353,0.163097199
222,ITT Technical Institute-Rancho Cordova,Rancho Cordova,95670-6034,,0.340540541,0.359430605
223,Academy of Chinese Culture and Health Sciences,Oakland,94612,,PrivacySuppressed,PrivacySuppressed
224,Academy of Professional Careers,San Diego,92120,,0.673846154,0.762376238
225,The Academy of Radio and TV Broadcasting,Huntington Beach,92647,,0.642857143,0.636363636
226,Academy Pacific Travel College,Los Angeles,90028-5218,,0.71484375,0.673076923
227,Avalon School of Cosmetology-Alameda,Alameda,94501,,PrivacySuppressed,PrivacySuppressed
228,College of Alameda,Alameda,94501,,PrivacySuppressed,PrivacySuppressed
229,Allan Hancock College,Santa Maria,93454-6399,,PrivacySuppressed,PrivacySuppressed
230,American Academy of Dramatic Arts-Los Angeles,Los Angeles,90028,,0.413043478,0.446808511
231,American Baptist Seminary of the West,Berkeley,94704-3029,,,
232,American Film Institute Conservatory,Los Angeles,90027-1625,,PrivacySuppressed,PrivacySuppressed
233,American Beauty College,West Covina,91790,,PrivacySuppressed,PrivacySuppressed
234,American InterContinental University,Los Angeles,90066,,0.34423676,0.501618123
235,American Career College-Los Angeles,Los Angeles,90004,,0.598591549,0.690021231
236,American Conservatory Theater,San Francisco,94108-5834,,PrivacySuppressed,PrivacySuppressed
237,American River College,Sacramento,95841-4286,,PrivacySuppressed,PrivacySuppressed
238,Everest College-Hayward,Hayward,94541,,PrivacySuppressed,PrivacySuppressed
239,Antelope Valley College,Lancaster,93536-5426,,0.045845272,0.037940379
240,Art Center College of Design,Pasadena,91103,,0.695652174,0.632075472
241,Associated Technical College-Los Angeles,Los Angeles,90017-1604,,PrivacySuppressed,PrivacySuppressed
242,Associated Technical College-San Diego,San Diego,92101,,PrivacySuppressed,PrivacySuppressed
243,Associated Technical College,Vista,92084,,PrivacySuppressed,PrivacySuppressed
244,Azusa Pacific University,Azusa,91702-7000,,0.455847255,0.394540943
245,Bakersfield College,Bakersfield,93305-1299,,PrivacySuppressed,PrivacySuppressed
246,Barstow Community College,Barstow,92311,,PrivacySuppressed,PrivacySuppressed
247,Bellus Academy-National City,National City,91950,,PrivacySuppressed,PrivacySuppressed
248,Bethany University,Scotts Valley,95066-2898,,0.330434783,0.205882353
249,Bethesda University,Anaheim,92801,,PrivacySuppressed,PrivacySuppressed
250,Biola University,La Mirada,90639-0001,,0.456876457,0.380073801
251,Brooks College,Long Beach,90804,,0.430575035,0.485316847
252,Brooks Institute,Ventura,93001,,0.425925926,0.5
253,Brownson Technical School,Anaheim,92805,,PrivacySuppressed,PrivacySuppressed
254,Bryan University,Los Angeles,90010,,PrivacySuppressed,PrivacySuppressed
255,Butte College,Oroville,95965-8399,,0.067391304,0.063513514
256,Phillips Graduate University,Chatsworth,91311,,,
257,California Institute of Integral Studies,San Francisco,94103,,PrivacySuppressed,PrivacySuppressed
258,Cabrillo College,Aptos,95003,,PrivacySuppressed,PrivacySuppressed
259,California Baptist University,Riverside,92504-3297,,0.423076923,0.348717949
260,California College of the Arts,San Francisco,94107-2247,,0.418300654,0.455445545
261,University of California-Hastings College of Law,San Francisco,94102-4978,,PrivacySuppressed,PrivacySuppressed
262,California Institute of Technology,Pasadena,91125,,PrivacySuppressed,PrivacySuppressed
263,California Lutheran University,Thousand Oaks,91360-2787,,0.221343874,0.151111111
264,California Polytechnic State University-San Luis Obispo,San Luis Obispo,93407,,0.164094232,0.127383677
265,Alliant International University,Fresno,93727,,PrivacySuppressed,PrivacySuppressed
266,Alliant International University,Alhambra,91803-1360,,,
267,Alliant International University-San Diego,San Diego,92131,,0.639344262,0.454545455
268,Alliant International University,San Francisco,94133-1221,,,
269,California State University-Bakersfield,Bakersfield,93311-1099,,0.246505718,0.164319249
270,California State University-Stanislaus,Turlock,95382-0299,,0.06573957,0.069651741
271,California State University-San Bernardino,San Bernardino,92407-2397,,0.184146342,0.140449438
272,California State Polytechnic University-Pomona,Pomona,91768,,0.130062305,0.079355239
273,California State University-Chico,Chico,95929-0150,,0.128552097,0.108003108
274,California State University-Dominguez Hills,Carson,90747-0005,,0.223628692,0.210526316
275,California State University-Fresno,Fresno,93740,,0.071471835,0.042735043
276,California State University-Fullerton,Fullerton,92831-3599,,0.091202583,0.063192182
277,California State University-East Bay,Hayward,94542,,0.08033241,0.075697211
278,California State University-Long Beach,Long Beach,90840-0115,,0.130820399,0.126575029
279,California State University-Los Angeles,Los Angeles,90032-8506,,0.136952499,0.113861386
280,California State University-Northridge,Northridge,91330,,0.083211144,0.063320023
281,California State University-Sacramento,Sacramento,95819-2694,,0.196205261,0.156965337
282,University of California-Berkeley,Berkeley,94720,,0.469377756,0.420272673
283,University of California-Davis,Davis,95616-8678,,0.103178739,0.104017217
284,University of California-Irvine,Irvine,92697,,0.402497027,0.346694796
285,University of California-Los Angeles,Los Angeles,90095-1405,,0.151457055,0.141341052
286,University of California-Riverside,Riverside,92521,,0.133637549,0.095829636
287,University of California-San Diego,La Jolla,92093,,0.101718213,0.079124579
288,University of California-San Francisco,San Francisco,94143-0244,,PrivacySuppressed,PrivacySuppressed
289,University of California-Santa Barbara,Santa Barbara,93106,,0.463373084,0.363984674
290,University of California-Santa Cruz,Santa Cruz,95064-1011,,0.042446941,0.037320574
291,Sofia University,Palo Alto,94303,,,
292,California Beauty School,Modesto,95354,,PrivacySuppressed,PrivacySuppressed
293,California Christian College,Fresno,93727,,PrivacySuppressed,PrivacySuppressed
294,Le Cordon Bleu College of Culinary Arts-San Francisco,San Francisco,94103,,0.837320574,0.732142857
295,California Hair Design Academy,La Mesa,91941-5055,,PrivacySuppressed,PrivacySuppressed
296,California Institute of the Arts,Valencia,91355-2397,,0.670731707,0.584615385
297,California State University Maritime Academy,Vallejo,94590,,PrivacySuppressed,PrivacySuppressed
298,California Western School of Law,San Diego,92101-3046,,PrivacySuppressed,PrivacySuppressed
299,Canada College,Redwood City,94061-1099,,PrivacySuppressed,PrivacySuppressed
300,College of the Canyons,Santa Clarita,91355-1899,,PrivacySuppressed,PrivacySuppressed
301,Career Academy of Beauty,Garden Grove,92845,,PrivacySuppressed,PrivacySuppressed
302,Casa Loma College-Van Nuys,Van Nuys,91405,,0.682758621,0.696969697
303,CET-San Diego,San Diego,92102,,0.137795276,0.121765601
304,CET-Sobrato,San Jose,95110,,0.137795276,0.121765601
305,CET-El Centro,El Centro,92243,,0.137795276,0.121765601
306,CET-Colton,Colton,92324,,0.137795276,0.121765601
307,CET-Watsonville,Watsonville,95076,,0.137795276,0.121765601
308,CET-Gilroy,Gilroy,95020,,0.137795276,0.121765601
309,CET-Salinas,Salinas,93901,,0.137795276,0.121765601
310,Cerritos College,Norwalk,90650-6298,,0.029086678,0.017021277
311,Cerro Coso Community College,Ridgecrest,93555-9571,,PrivacySuppressed,PrivacySuppressed
312,Chabot College,Hayward,94545,,PrivacySuppressed,PrivacySuppressed
313,Chaffey College,Rancho Cucamonga,91737-3002,,PrivacySuppressed,PrivacySuppressed
314,Chapman University,Orange,92866,,0.290206649,0.242857143
315,Charles R Drew University of Medicine and Science,Los Angeles,90059,,0.767857143,0.827586207
316,Concordia University-Irvine,Irvine,92612-3203,,0.372469636,0.275862069
317,San Diego Christian College,Santee,92071,,0.504424779,0.423076923
318,Church Divinity School of the Pacific,Berkeley,94709-1211,,PrivacySuppressed,PrivacySuppressed
319,Citrus College,Glendora,91741-1899,,PrivacySuppressed,PrivacySuppressed
320,City College of San Francisco,San Francisco,94112-1898,,0.068965517,0.038235294
321,CITY UNIVERSITY-LOS ANGELES,Los Angeles,90045,,0.317073171,0.245283019
322,Claremont Graduate University,Claremont,91711-6160,,PrivacySuppressed,PrivacySuppressed
323,Claremont McKenna College,Claremont,91711-6400,,0.661764706,0.695652174
324,Milan Institute-Visalia,Visalia,93277,,0.593837535,0.682310469
325,Cleveland Chiropractic College of Los Angeles,Los Angeles,90004-2196,,PrivacySuppressed,PrivacySuppressed
326,Clovis Adult Education,Clovis,93611,,PrivacySuppressed,PrivacySuppressed
327,Coastline Community College,Fountain Valley,92708-2597,,PrivacySuppressed,PrivacySuppressed
328,Cogswell College,San Jose,95134,,PrivacySuppressed,PrivacySuppressed
329,Coleman University,San Diego,92123-1506,,0.826732673,0.773712737
330,Coba Cosmetology Academy,Orange,92866,,,
331,National Polytechnic College of Science,Wilmington,90744-6399,,PrivacySuppressed,PrivacySuppressed
332,Western University of Health Sciences,Pomona,91766-1854,,PrivacySuppressed,PrivacySuppressed
333,Columbia College,Sonora,95370,,PrivacySuppressed,PrivacySuppressed
334,Columbia College-Hollywood,Tarzana,91356-1411,,PrivacySuppressed,PrivacySuppressed
335,El Camino College-Compton Center,Compton,90221-5393,,PrivacySuppressed,PrivacySuppressed
336,Western Beauty Institute,Panorama City,91402,,PrivacySuppressed,PrivacySuppressed
337,Contra Costa College,San Pablo,94806-3195,,PrivacySuppressed,PrivacySuppressed
338,Cosumnes River College,Sacramento,95823-5799,,PrivacySuppressed,PrivacySuppressed
339,Crafton Hills College,Yucaipa,92339-1799,,PrivacySuppressed,PrivacySuppressed
340,Cuesta College,San Luis Obispo,93403-8106,,PrivacySuppressed,PrivacySuppressed
341,Cuyamaca College,El Cajon,92019,,PrivacySuppressed,PrivacySuppressed
342,Marinello Schools of Beauty-Bell,Bell,90201,,0.585034014,0.532258065
